Q0045	MT-CO1
YAL067C	SLC22A1
YAL067C	SLC22A11
YAL067C	SLC22A13
YAL067C	SLC22A14
YAL067C	SLC22A15
YAL067C	SLC22A17
YAL067C	SLC22A18
YAL067C	SLC22A23
YAL067C	SLC22A24
YAL067C	SLC22A25
YAL067C	SLC22A6
YAL067C	SLC22A7
YAL067C	SLC22A9
YAL067C	SLC2A10
YAL067C	SLC2A11
YAL067C	SLC2A12
YAL067C	SLC2A13
YAL067C	SLC2A5
YAL067C	SLC2A6
YAL067C	SLC2A7
YAL067C	SLC37A1
YAL067C	SLC37A2
YAL067C	SLC37A3
YAL067C	SLC43A1
YAL067C	SLC43A2
YAL067C	SLC43A3
YAL067C	SLC45A1
YAL067C	SLC45A3
YAL067C	SLC45A4
YAL067C	SLC46A2
YAL067C	SLC46A3
YAL067C	SLCO1C1
YAL067C	SLCO2A1
YAL067C	SLCO2B1
YAL067C	SLCO3A1
YAL067C	SLCO4A1
YAL067C	SPNS1
YAL067C	SPNS2
YAL067C	SPNS3
YAL067C	SV2B
YAL067C	SV2C
YAR003W	CHAF1B
YAR003W	EED
YAR003W	RBBP4
YAR003W	RBBP5
YAR003W	TBL1Y
YAR003W	TLE6
YAR003W	WDR5
YAR007C	NABP1
YAR007C	NABP2
YAR007C	RPA1
YAR007C	RPA2
YAR007C	RPA4
YAR008W	TSEN2
YAR008W	TSEN34
YAR015W	PAICS
YAR019C	AURKC
YAR019C	CLK1
YAR019C	CLK3
YAR019C	CSNK1A1
YAR019C	MAP3K12
YAR019C	MAPK6
YAR019C	NEK3
YAR019C	NEK4
YAR019C	NEK6
YAR019C	NEK7
YAR019C	NEK9
YAR019C	PBK
YAR019C	PIM3
YAR019C	STK10
YAR019C	VRK1
YAR035W	CRAT
YAR042W	CADPS
YAR042W	DNM1
YAR042W	OSBP
YAR042W	OSBP2
YAR042W	OSBPL10
YAR042W	OSBPL2
YAR042W	OSBPL3
YAR042W	OSBPL5
YAR042W	OSBPL6
YAR042W	OSBPL9
YAR042W	PLEKHA8
YBL002W	H2AFB1
YBL002W	H2AFB2
YBL002W	H2AFJ
YBL002W	H2AFV
YBL002W	H2AFY
YBL002W	H2AFY2
YBL002W	H2AFZ
YBL002W	H2BFM
YBL002W	H2BFWT
YBL002W	H3F3B
YBL002W	H3F3C
YBL002W	HIST1H2AA
YBL002W	HIST1H2AB
YBL002W	HIST1H2AC
YBL002W	HIST1H2AD
YBL002W	HIST1H2AG
YBL002W	HIST1H2AH
YBL002W	HIST1H2AJ
YBL002W	HIST1H2BB
YBL002W	HIST1H2BD
YBL002W	HIST1H2BH
YBL002W	HIST1H2BL
YBL002W	HIST1H2BM
YBL002W	HIST1H2BN
YBL002W	HIST1H2BO
YBL002W	HIST1H4G
YBL002W	HIST2H2AA3
YBL002W	HIST2H2AB
YBL002W	HIST2H2AC
YBL002W	HIST2H2BF
YBL002W	HIST3H2A
YBL002W	HIST3H2BB
YBL002W	HIST3H3
YBL003C	H2AFB1
YBL003C	H2AFB2
YBL003C	H2AFJ
YBL003C	H2AFV
YBL003C	H2AFY
YBL003C	H2AFY2
YBL003C	H2AFZ
YBL003C	H2BFM
YBL003C	H2BFWT
YBL003C	H3F3B
YBL003C	H3F3C
YBL003C	HIST1H2AA
YBL003C	HIST1H2AB
YBL003C	HIST1H2AC
YBL003C	HIST1H2AD
YBL003C	HIST1H2AG
YBL003C	HIST1H2AH
YBL003C	HIST1H2AJ
YBL003C	HIST1H2BB
YBL003C	HIST1H2BD
YBL003C	HIST1H2BH
YBL003C	HIST1H2BL
YBL003C	HIST1H2BM
YBL003C	HIST1H2BN
YBL003C	HIST1H2BO
YBL003C	HIST1H4G
YBL003C	HIST2H2AA3
YBL003C	HIST2H2AB
YBL003C	HIST2H2AC
YBL003C	HIST2H2BF
YBL003C	HIST3H2A
YBL003C	HIST3H2BB
YBL003C	HIST3H3
YBL007C	PACSIN2
YBL008W	BRWD1
YBL008W	CHAF1B
YBL008W	CIRH1A
YBL008W	EED
YBL008W	ELP2
YBL008W	GTF3C2
YBL008W	MED16
YBL008W	PWP1
YBL008W	RBBP4
YBL008W	RBBP7
YBL008W	TAF5
YBL008W	TAF5L
YBL008W	TBL1Y
YBL008W	TLE6
YBL008W	WDR5
YBL008W	WDR77
YBL009W	GSG2
YBL011W	AGPAT3
YBL011W	AGPAT4
YBL011W	AGPAT5
YBL011W	LPCAT2
YBL011W	LPCAT4
YBL011W	LPGAT1
YBL016W	MAP3K12
YBL016W	TNK1
YBL016W	WNK2
YBL019W	APEX2
YBL019W	DNASE1L1
YBL019W	DNASE1L2
YBL019W	EEPD1
YBL019W	NEIL3
YBL019W	TDP2
YBL020W	RFT1
YBL022C	LONRF1
YBL022C	LONRF2
YBL022C	LONRF3
YBL023C	MCMDC2
YBL026W	LSM1
YBL026W	LSM2
YBL026W	LSM3
YBL026W	LSM4
YBL026W	LSM5
YBL026W	LSM6
YBL026W	LSM7
YBL026W	NAA38
YBL026W	SNRPB
YBL026W	SNRPD1
YBL026W	SNRPD2
YBL026W	SNRPD3
YBL026W	SNRPE
YBL026W	SNRPF
YBL026W	SNRPG
YBL030C	SLC25A14
YBL030C	SLC25A42
YBL035C	POLA2
YBL035C	POLD2
YBL035C	POLE2
YBL037W	AP1G2
YBL037W	AP3B2
YBL037W	AP4B1
YBL037W	AP4E1
YBL037W	COPG2
YBL037W	GGA1
YBL037W	GGA2
YBL037W	GGA3
YBL038W	MRPL16
YBL038W	RPL10L
YBL040C	KDELR1
YBL040C	KDELR2
YBL045C	UQCRC2
YBL052C	KAT6B
YBL052C	KAT8
YBL056W	ILKAP
YBL056W	PPM1G
YBL064C	GPX7
YBL064C	GPX8
YBL067C	USP53
YBL075C	HSPA14
YBL075C	HSPA4L
YBL075C	HSPA9
YBL076C	CARS2
YBL076C	IARS
YBL076C	IARS2
YBL076C	LARS
YBL076C	LARS2
YBL076C	MARS2
YBL076C	VARS
YBL076C	VARS2
YBL078C	GABARAP
YBL078C	MAP1LC3A
YBL079W	NUP155
YBL080C	PET112
YBL082C	ALG3
YBL084C	ANAPC7
YBL084C	CDC23
YBL085W	CNKSR1
YBL087C	MRPL14
YBL089W	SLC36A1
YBL089W	SLC36A2
YBL089W	SLC38A1
YBL089W	SLC38A4
YBL089W	SLC38A5
YBL090W	MRPS21
YBL091C	METAP1
YBL091C	METAP1D
YBL091C	METAP2
YBL091C	XPNPEP1
YBL091C	XPNPEP2
YBL091C	XPNPEP3
YBL097W	NCAPH
YBL105C	ABL2
YBL105C	AKT3
YBL105C	CAPN5
YBL105C	CDC42BPB
YBL105C	CDC42BPG
YBL105C	CDK18
YBL105C	CSNK1A1
YBL105C	CSNK1G2
YBL105C	CSNK1G3
YBL105C	GRK7
YBL105C	GSG2
YBL105C	ICK
YBL105C	INSRR
YBL105C	JAK1
YBL105C	LIMK1
YBL105C	LTK
YBL105C	MAP3K12
YBL105C	MAP3K3
YBL105C	MAP3K6
YBL105C	MAP4K1
YBL105C	MAP4K3
YBL105C	MAP4K4
YBL105C	MAP4K5
YBL105C	MAPK4
YBL105C	MAPK6
YBL105C	MAPKAPK5
YBL105C	MARK1
YBL105C	MAST1
YBL105C	MKNK1
YBL105C	MKNK2
YBL105C	MOK
YBL105C	NLK
YBL105C	OXSR1
YBL105C	PKN3
YBL105C	RPS6KB2
YBL105C	SIK2
YBL105C	STK10
YBL105C	STK17B
YBL105C	STK38
YBL105C	STK38L
YBL105C	TEC
YBL105C	TNIK
YBL105C	TNK1
YBL105C	TYK2
YBL105C	WNK2
YBL106C	STXBP5
YBL111C	TDRD12
YBR004C	PIGV
YBR008C	SLC22A8
YBR009C	H2AFB1
YBR009C	H2AFB2
YBR009C	H2AFJ
YBR009C	H2AFV
YBR009C	H2AFY
YBR009C	H2AFY2
YBR009C	H2AFZ
YBR009C	H2BFM
YBR009C	H2BFWT
YBR009C	H3F3B
YBR009C	H3F3C
YBR009C	HIST1H2AA
YBR009C	HIST1H2AB
YBR009C	HIST1H2AC
YBR009C	HIST1H2AD
YBR009C	HIST1H2AG
YBR009C	HIST1H2AH
YBR009C	HIST1H2AJ
YBR009C	HIST1H2BB
YBR009C	HIST1H2BD
YBR009C	HIST1H2BH
YBR009C	HIST1H2BL
YBR009C	HIST1H2BM
YBR009C	HIST1H2BN
YBR009C	HIST1H2BO
YBR009C	HIST1H4G
YBR009C	HIST2H2AA3
YBR009C	HIST2H2AB
YBR009C	HIST2H2AC
YBR009C	HIST2H2BF
YBR009C	HIST3H2A
YBR009C	HIST3H2BB
YBR009C	HIST3H3
YBR010W	H2AFB1
YBR010W	H2AFB2
YBR010W	H2AFJ
YBR010W	H2AFV
YBR010W	H2AFY
YBR010W	H2AFY2
YBR010W	H2AFZ
YBR010W	H2BFM
YBR010W	H2BFWT
YBR010W	H3F3B
YBR010W	H3F3C
YBR010W	HIST1H2AA
YBR010W	HIST1H2AB
YBR010W	HIST1H2AC
YBR010W	HIST1H2AD
YBR010W	HIST1H2AG
YBR010W	HIST1H2AH
YBR010W	HIST1H2AJ
YBR010W	HIST1H2BB
YBR010W	HIST1H2BD
YBR010W	HIST1H2BH
YBR010W	HIST1H2BL
YBR010W	HIST1H2BM
YBR010W	HIST1H2BN
YBR010W	HIST1H2BO
YBR010W	HIST1H4G
YBR010W	HIST2H2AA3
YBR010W	HIST2H2AB
YBR010W	HIST2H2AC
YBR010W	HIST2H2BF
YBR010W	HIST3H2A
YBR010W	HIST3H2BB
YBR010W	HIST3H3
YBR011C	PPA1
YBR011C	PPA2
YBR018C	GALT
YBR019C	GALE
YBR019C	GALM
YBR025C	OLA1
YBR028C	EPHA10
YBR028C	EPHA6
YBR028C	LMTK3
YBR029C	CDS2
YBR031W	MRPL4
YBR039W	ATP5C1
YBR041W	AASDH
YBR041W	ACSF2
YBR041W	ACSF3
YBR041W	ACSM4
YBR041W	ACSM5
YBR041W	SLC27A2
YBR041W	SLC27A3
YBR041W	SLC27A4
YBR041W	SLC27A5
YBR041W	SLC27A6
YBR042C	AGPAT3
YBR042C	AGPAT4
YBR042C	AGPAT5
YBR042C	LPCAT2
YBR042C	LPCAT4
YBR042C	LPGAT1
YBR043C	MFSD12
YBR043C	MFSD2A
YBR043C	MFSD5
YBR043C	SLC22A18
YBR043C	SLC45A4
YBR043C	SLC46A2
YBR044C	BBS12
YBR044C	CCT2
YBR046C	ZADH2
YBR048W	MRPS17
YBR053C	APMAP
YBR055C	PRPF6
YBR061C	FTSJ1
YBR068C	SLC7A1
YBR068C	SLC7A10
YBR068C	SLC7A3
YBR068C	SLC7A4
YBR069C	SLC7A1
YBR069C	SLC7A10
YBR069C	SLC7A3
YBR069C	SLC7A4
YBR070C	ALG14
YBR072W	HSPB6
YBR072W	HSPB9
YBR073W	FANCM
YBR073W	RAD54B
YBR073W	RAD54L
YBR073W	RECQL
YBR073W	RECQL5
YBR082C	CDC34
YBR082C	UBE2D2
YBR082C	UBE2D3
YBR082C	UBE2L3
YBR082C	UBE2M
YBR082C	UBE2R2
YBR082C	UBE2T
YBR082C	UBE2W
YBR087W	RFC2
YBR087W	RFC5
YBR088C	PCNA
YBR089C-A	BBX
YBR089C-A	CIC
YBR089C-A	HMG20A
YBR089C-A	HMG20B
YBR089C-A	PBRM1
YBR089C-A	SMARCE1
YBR089C-A	SOX1
YBR089C-A	SOX12
YBR089C-A	SOX15
YBR089C-A	SOX30
YBR089C-A	SSRP1
YBR089C-A	TFAM
YBR089C-A	TOX2
YBR097W	MAP3K12
YBR097W	TLK1
YBR102C	EXOC8
YBR103W	EED
YBR104W	SLC25A14
YBR104W	SLC25A30
YBR110W	ALG1
YBR110W	ALG11
YBR110W	ALG2
YBR111C	NUDT19
YBR111C	NUDT6
YBR111W-A	ENY2
YBR114W	LNX1
YBR114W	RCHY1
YBR114W	RNF11
YBR114W	SHPRH
YBR119W	CELF2
YBR119W	CELF3
YBR119W	CELF5
YBR119W	CELF6
YBR119W	CPSF6
YBR119W	CPSF7
YBR119W	CSTF2
YBR119W	CSTF2T
YBR119W	ELAVL4
YBR119W	ESRP1
YBR119W	FUS
YBR119W	HNRNPA0
YBR119W	HNRNPA1L2
YBR119W	HNRNPA2B1
YBR119W	HNRNPA3
YBR119W	HNRNPC
YBR119W	HNRNPD
YBR119W	HNRNPF
YBR119W	HNRNPH1
YBR119W	HNRNPH2
YBR119W	HNRNPH3
YBR119W	HNRNPL
YBR119W	HNRNPM
YBR119W	HNRNPR
YBR119W	LARP7
YBR119W	NCBP2L
YBR119W	PABPC3
YBR119W	PTBP1
YBR119W	PTBP2
YBR119W	RALY
YBR119W	RBFOX3
YBR119W	RBM23
YBR119W	RBM25
YBR119W	RBM26
YBR119W	RBM28
YBR119W	RBM39
YBR119W	RBMS1
YBR119W	RBMS2
YBR119W	RBMXL1
YBR119W	RBMY1A1
YBR119W	RBMY1D
YBR119W	RBMY1E
YBR119W	RNPC3
YBR119W	SART3
YBR119W	SCAF8
YBR119W	SF3B14
YBR119W	SF3B4
YBR119W	SFPQ
YBR119W	SNRNP35
YBR119W	SNRNP70
YBR119W	SNRPA
YBR119W	SNRPB2
YBR119W	SREK1
YBR119W	SRSF11
YBR119W	SRSF12
YBR119W	SRSF2
YBR119W	SRSF3
YBR119W	SRSF4
YBR119W	SRSF6
YBR119W	SRSF7
YBR119W	SRSF9
YBR119W	SSB
YBR119W	SYNCRIP
YBR119W	TRA2A
YBR119W	TRA2B
YBR119W	TUT1
YBR119W	U2AF1
YBR119W	U2AF1L4
YBR119W	U2AF2
YBR119W	U2SURP
YBR119W	ZCRB1
YBR119W	ZRSR2
YBR121C	EPRS
YBR121C	FARSA
YBR121C	GARS
YBR121C	HARS
YBR121C	HARS2
YBR121C	PARS2
YBR121C	SARS
YBR121C	SARS2
YBR121C	TARS
YBR121C	TARS2
YBR121C	TARSL2
YBR123C	GTF3C5
YBR132C	SLC7A4
YBR140C	RASA2
YBR140C	RASA3
YBR140C	RASA4
YBR140C	RASAL1
YBR140C	RASAL2
YBR140C	RASAL3
YBR142W	DDX47
YBR142W	DDX51
YBR142W	DDX56
YBR142W	SKIV2L2
YBR146W	MRPS9
YBR149W	AKR7A2
YBR154C	POLR2E
YBR155W	DNAJC7
YBR155W	FKBP5
YBR155W	ST13
YBR155W	TOMM70A
YBR155W	TTC1
YBR159W	CBR4
YBR159W	DECR2
YBR159W	HSD17B8
YBR159W	HSD3B7
YBR159W	PECR
YBR160W	CDC7
YBR160W	CDK2
YBR160W	CDK3
YBR160W	CHEK1
YBR160W	CSNK1E
YBR160W	MASTL
YBR160W	PIM3
YBR160W	PKMYT1
YBR160W	PLK4
YBR160W	WEE1
YBR161W	A4GALT
YBR164C	ARL17A
YBR164C	RAB2B
YBR164C	SAR1A
YBR167C	POP7
YBR169C	HSPA14
YBR169C	HSPA4L
YBR173C	POMP
YBR175W	EED
YBR175W	WDR82
YBR177C	ABHD4
YBR177C	LIPJ
YBR177C	LIPK
YBR177C	LIPM
YBR177C	LIPN
YBR179C	MFN1
YBR180W	SLC18A1
YBR183W	ACER3
YBR193C	MED8
YBR195C	CHAF1B
YBR195C	RBBP4
YBR198C	CHAF1B
YBR198C	EED
YBR198C	LRWD1
YBR198C	RBBP4
YBR198C	TAF5
YBR202W	MCMDC2
YBR204C	ABHD1
YBR204C	ABHD11
YBR204C	ABHD2
YBR204C	ABHD3
YBR204C	EPHX3
YBR204C	SERHL2
YBR217W	GABARAP
YBR217W	GABARAPL1
YBR217W	MAP1LC3B
YBR217W	MAP1LC3B2
YBR217W	MAP1LC3C
YBR221C	PDHB
YBR223C	TDP1
YBR234C	ARPC1A
YBR234C	CORO1B
YBR234C	CORO2A
YBR234C	CORO2B
YBR234C	CORO6
YBR236C	RNMT
YBR237W	DDX23
YBR237W	DHX35
YBR237W	DHX8
YBR237W	SKIV2L2
YBR237W	SNRNP200
YBR243C	DPAGT1
YBR244W	GPX3
YBR244W	GPX5
YBR244W	GPX6
YBR244W	GPX7
YBR244W	GPX8
YBR245C	ASCC3
YBR245C	CHD1
YBR245C	CHD3
YBR245C	CHD4
YBR245C	CHD5
YBR245C	CHD6
YBR245C	CHD9
YBR245C	DDX24
YBR245C	DDX54
YBR245C	DDX6
YBR245C	DHX8
YBR245C	HLTF
YBR245C	RECQL5
YBR245C	SMARCA1
YBR245C	SMARCA5
YBR245C	SMARCAD1
YBR245C	SMARCAL1
YBR245C	SRCAP
YBR245C	TTF2
YBR251W	MRPS5
YBR254C	TRAPPC2L
YBR254C	TRAPPC2P1
YBR254C	TRAPPC4
YBR257W	POP4
YBR265W	KDSR
YBR274W	ARAF
YBR274W	CDK17
YBR274W	CLK1
YBR274W	CLK3
YBR274W	CLK4
YBR274W	DYRK4
YBR274W	MAP3K12
YBR274W	MLK4
YBR274W	NEK11
YBR274W	PBK
YBR274W	PSKH1
YBR274W	PTK6
YBR274W	SIK3
YBR274W	STK10
YBR274W	TNNI3K
YBR276C	DUPD1
YBR276C	DUSP15
YBR276C	DUSP18
YBR276C	DUSP26
YBR276C	DUSP27
YBR276C	DUSP28
YBR276C	PTPN3
YBR276C	PTPN4
YBR276C	STYXL1
YBR288C	AP3M2
YBR288C	AP4M1
YBR288C	AP5M1
YBR288C	STON1
YBR288C	STON2
YBR293W	SLC16A10
YBR293W	SLC16A6
YBR293W	SLC17A5
YBR293W	SLC43A1
YBR293W	SLC43A2
YBR294W	SLC26A1
YBR294W	SLC26A10
YBR294W	SLC26A11
YBR294W	SLC26A2
YBR294W	SLC26A3
YBR294W	SLC26A6
YBR294W	SLC26A7
YBR294W	SLC26A9
YBR296C	SLC20A2
YBR298C	SLC2A11
YBR298C	SLC2A12
YBR298C	SLC2A7
YBR298C	SLC37A3
YCL001W	RER1
YCL004W	PLD3
YCL004W	PLD4
YCL009C	PAH
YCL025C	SLC7A1
YCL025C	SLC7A10
YCL025C	SLC7A3
YCL025C	SLC7A4
YCL040W	HK1
YCL040W	HK2
YCL040W	HK3
YCL040W	HKDC1
YCL043C	QSOX1
YCL052C	PIGX
YCL054W	FTSJ2
YCL057C-A	MINOS1
YCL057W	MIPEP
YCL057W	NLN
YCL057W	THOP1
YCL067C	CUX2
YCL067C	DBX1
YCL067C	DLX4
YCL067C	GBX1
YCL067C	GSC2
YCL067C	ONECUT3
YCL067C	PKNOX2
YCL067C	POU2F3
YCL067C	POU5F1B
YCL067C	TGIF2
YCL067C	ZHX1
YCL067C	ZHX3
YCL069W	SLC16A10
YCL069W	SLC16A6
YCL069W	SLC17A5
YCL069W	SLC43A1
YCL069W	SLC43A2
YCL073C	FLVCR2
YCL073C	HIAT1
YCL073C	HIATL1
YCL073C	HIATL2
YCL073C	MFSD1
YCL073C	MFSD10
YCL073C	MFSD12
YCL073C	MFSD2A
YCL073C	MFSD3
YCL073C	MFSD4
YCL073C	MFSD5
YCL073C	MFSD6
YCL073C	MFSD7
YCL073C	MFSD8
YCL073C	MFSD9
YCL073C	SLC15A3
YCL073C	SLC15A4
YCL073C	SLC16A10
YCL073C	SLC16A11
YCL073C	SLC16A12
YCL073C	SLC16A14
YCL073C	SLC16A2
YCL073C	SLC16A4
YCL073C	SLC16A5
YCL073C	SLC16A6
YCL073C	SLC16A7
YCL073C	SLC17A1
YCL073C	SLC17A3
YCL073C	SLC17A5
YCL073C	SLC17A6
YCL073C	SLC17A8
YCL073C	SLC17A9
YCL073C	SLC18A1
YCL073C	SLC18B1
YCL073C	SLC22A1
YCL073C	SLC22A11
YCL073C	SLC22A13
YCL073C	SLC22A14
YCL073C	SLC22A15
YCL073C	SLC22A17
YCL073C	SLC22A18
YCL073C	SLC22A23
YCL073C	SLC22A24
YCL073C	SLC22A25
YCL073C	SLC22A6
YCL073C	SLC22A7
YCL073C	SLC22A9
YCL073C	SLC2A10
YCL073C	SLC2A11
YCL073C	SLC2A12
YCL073C	SLC2A13
YCL073C	SLC2A5
YCL073C	SLC2A6
YCL073C	SLC2A7
YCL073C	SLC37A1
YCL073C	SLC37A2
YCL073C	SLC37A3
YCL073C	SLC43A1
YCL073C	SLC43A2
YCL073C	SLC43A3
YCL073C	SLC45A1
YCL073C	SLC45A3
YCL073C	SLC45A4
YCL073C	SLC46A2
YCL073C	SLC46A3
YCL073C	SLCO1C1
YCL073C	SLCO2A1
YCL073C	SLCO2B1
YCL073C	SLCO3A1
YCL073C	SLCO4A1
YCL073C	SPNS1
YCL073C	SPNS2
YCL073C	SPNS3
YCL073C	SV2B
YCL073C	SV2C
YCR003W	MRPL32
YCR011C	ABCA10
YCR011C	ABCA13
YCR011C	ABCA3
YCR011C	ABCA6
YCR011C	ABCA7
YCR011C	ABCA8
YCR011C	ABCA9
YCR011C	ABCB1
YCR011C	ABCB10
YCR011C	ABCB7
YCR011C	ABCB8
YCR011C	ABCB9
YCR011C	ABCC1
YCR011C	ABCC10
YCR011C	ABCC11
YCR011C	ABCC2
YCR011C	ABCC3
YCR011C	ABCC6
YCR011C	ABCD4
YCR011C	ABCF2
YCR011C	ABCG4
YCR012W	PGK1
YCR012W	PGK2
YCR023C	MFSD11
YCR024C	DARS
YCR024C	NARS
YCR024C	NARS2
YCR028C	MFSD12
YCR028C	MFSD2A
YCR028C	MFSD5
YCR028C	SLC16A2
YCR028C	SLC45A4
YCR028C	SLC46A2
YCR031C	RPS14
YCR034W	ELOVL1
YCR034W	ELOVL2
YCR034W	ELOVL3
YCR034W	ELOVL4
YCR034W	ELOVL5
YCR034W	ELOVL6
YCR034W	ELOVL7
YCR035C	EXOSC4
YCR035C	EXOSC5
YCR035C	EXOSC6
YCR035C	EXOSC7
YCR035C	EXOSC8
YCR035C	EXOSC9
YCR035C	PNPT1
YCR036W	RBKS
YCR039C	CUX2
YCR039C	DBX1
YCR039C	DLX4
YCR039C	GBX1
YCR039C	GSC2
YCR039C	ONECUT3
YCR039C	PKNOX2
YCR039C	POU2F3
YCR039C	POU5F1B
YCR039C	TGIF2
YCR039C	ZHX1
YCR039C	ZHX3
YCR044C	PGAP3
YCR046C	MRPL19
YCR051W	ANKRA2
YCR051W	ANKRD30B
YCR051W	ANKRD39
YCR051W	ANKRD40
YCR051W	ANKRD45
YCR051W	CASKIN2
YCR057C	BOP1
YCR057C	RRP9
YCR057C	UTP15
YCR057C	UTP18
YCR057C	WDR12
YCR057C	WDR55
YCR066W	RFWD3
YCR067C	COPB2
YCR071C	MRPL49
YCR073C	CDK18
YCR073C	CSNK1G1
YCR073C	JAK1
YCR073C	MAP3K12
YCR073C	MAP3K13
YCR073C	MAP3K6
YCR073C	MAP4K1
YCR073C	MAP4K5
YCR073C	MAPK6
YCR073C	MKNK1
YCR073C	MLK4
YCR073C	MOK
YCR073C	PKN3
YCR073C	PRKD3
YCR073C	SIK2
YCR073C	TYK2
YCR077C	PATL1
YCR084C	RBBP4
YCR090C	C1orf123
YCR091W	CDK17
YCR091W	CLK1
YCR091W	CLK3
YCR091W	DYRK4
YCR091W	MAP3K12
YCR091W	MYO3B
YCR091W	OXSR1
YCR091W	PSKH1
YCR091W	SIK3
YCR091W	STK10
YCR091W	TNNI3K
YCR092C	MSH3
YCR092C	MSH5
YCR092C	MSH5-SAPCD1
YCR093W	CNOT1
YCR096C	EVX2
YCR096C	NKX1-1
YCR096C	NKX2-4
YCR097W	CUX2
YCR097W	GBX1
YCR097W	PKNOX2
YCR097W	POU5F1B
YCR098C	SLC22A15
YCR098C	SLC22A23
YCR098C	SLC22A31
YCR098C	SLC22A7
YCR105W	ADH1A
YCR105W	ADH1B
YCR105W	ADH4
YCR105W	CRYZL1
YCR107W	AKR7A2
YCR107W	AKR7A3
YDL007W	CLPX
YDL014W	FBL
YDL014W	FBLL1
YDL015C	TECR
YDL017W	ARAF
YDL017W	CDC42BPG
YDL017W	CDK17
YDL017W	CDK18
YDL017W	CDKL3
YDL017W	CLK1
YDL017W	CLK3
YDL017W	CLK4
YDL017W	DYRK1B
YDL017W	DYRK3
YDL017W	DYRK4
YDL017W	MAP3K12
YDL017W	MLK4
YDL017W	MOK
YDL017W	PBK
YDL017W	PKN3
YDL017W	PRKD3
YDL017W	PRPF4B
YDL017W	PSKH1
YDL017W	PTK6
YDL017W	SCYL3
YDL017W	SIK3
YDL017W	SNRK
YDL017W	STK10
YDL017W	STK16
YDL017W	STK33
YDL017W	TNNI3K
YDL017W	TP53RK
YDL017W	TSSK6
YDL017W	VRK1
YDL018C	TMED6
YDL019C	CADPS
YDL019C	DNM1
YDL019C	OSBP
YDL019C	OSBP2
YDL019C	OSBPL10
YDL019C	OSBPL2
YDL019C	OSBPL3
YDL019C	OSBPL5
YDL019C	OSBPL6
YDL019C	OSBPL9
YDL019C	PLEKHA8
YDL025C	EPHA10
YDL025C	EPHA6
YDL025C	LMTK3
YDL028C	TTK
YDL030W	SF3A3
YDL033C	TRMU
YDL036C	RPUSD3
YDL036C	RPUSD4
YDL040C	FKBP5
YDL040C	NAA16
YDL045C	FLAD1
YDL051W	CELF2
YDL051W	CELF5
YDL051W	CELF6
YDL051W	CSTF2
YDL051W	CSTF2T
YDL051W	ELAVL4
YDL051W	ESRP1
YDL051W	HNRNPA3
YDL051W	HNRNPC
YDL051W	HNRNPD
YDL051W	HNRNPF
YDL051W	HNRNPH1
YDL051W	HNRNPH2
