Q0045	MT-CO1
YAL017W	ICK
YAL017W	IGF1R
YAL017W	IKBKB
YAL017W	IKBKE
YAL017W	ILK
YAL017W	IRAK1
YAL017W	IRAK2
YAL017W	IRAK3
YAL017W	JAK1
YAL017W	JAK2
YAL017W	JAK3
YAL017W	KALRN
YAL017W	KSR1
YAL017W	LATS1
YAL017W	LATS2
YAL017W	LCK
YAL017W	LIMK1
YAL017W	LMTK2
YAL017W	LTK
YAL017W	LYN
YAL017W	MAK
YAL017W	MAP2K2
YAL017W	MAP3K1
YAL017W	MAP3K11
YAL017W	MAP3K12
YAL017W	MAP3K13
YAL017W	MAP3K2
YAL017W	MAP3K6
YAL017W	MAP3K8
YAL017W	MAP3K9
YAL017W	MAP4K1
YAL017W	MAP4K2
YAL017W	MAP4K3
YAL017W	MAP4K4
YAL017W	MAP4K5
YAL017W	MAPK3
YAL017W	MAPK4
YAL017W	MAPK6
YAL017W	MAPKAPK2
YAL017W	MARK1
YAL017W	MARK2
YAL017W	MARK4
YAL017W	MAST1
YAL017W	MAST2
YAL017W	MATK
YAL017W	MERTK
YAL017W	MINK1
YAL017W	MKNK1
YAL017W	MKNK2
YAL017W	MLK4
YAL017W	MLTK
YAL017W	MOK
YAL017W	MST4
YAL017W	MYLK
YAL017W	MYLK3
YAL017W	NEK11
YAL017W	NEK2
YAL017W	NEK3
YAL017W	NEK4
YAL017W	NEK6
YAL017W	NEK7
YAL017W	NLK
YAL017W	NTRK1
YAL017W	NUAK2
YAL017W	OXSR1
YAL017W	PAK1
YAL017W	PAK2
YAL017W	PASK
YAL017W	PBK
YAL017W	PDPK1
YAL017W	PHKG2
YAL017W	PIK3R4
YAL017W	PIM1
YAL017W	PIM2
YAL017W	PIM3
YAL017W	PINK1
YAL017W	PKN1
YAL017W	PKN2
YAL017W	PKN3
YAL017W	PLK1
YAL017W	PLK2
YAL017W	PLK3
YAL017W	PLK4
YAL017W	PRKAA1
YAL017W	PRKAA2
YAL017W	PRKACA
YAL017W	PRKACB
YAL017W	PRKCA
YAL017W	PRKCB
YAL017W	PRKCD
YAL017W	PRKCE
YAL017W	PRKCG
YAL017W	PRKCH
YAL017W	PRKCI
YAL017W	PRKCQ
YAL017W	PRKCZ
YAL017W	PRKD2
YAL017W	PRKD3
YAL017W	PRKG1
YAL017W	PRKG2
YAL017W	PRPF4B
YAL017W	PSKH1
YAL017W	PTK2B
YAL017W	PTK6
YAL017W	RAF1
YAL017W	RET
YAL017W	RNASEL
YAL017W	ROCK1
YAL017W	ROCK2
YAL017W	ROS1
YAL017W	RPS6KA4
YAL017W	RPS6KA5
YAL017W	RPS6KB1
YAL017W	SCYL3
YAL017W	SGK1
YAL017W	SGK2
YAL017W	SGK3
YAL017W	SIK1
YAL017W	SIK2
YAL017W	SIK3
YAL017W	SNRK
YAL017W	SRPK1
YAL017W	SRPK2
YAL017W	SRPK3
YAL017W	STK10
YAL017W	STK11
YAL017W	STK17A
YAL017W	STK17B
YAL017W	STK24
YAL017W	STK3
YAL017W	STK36
YAL017W	STK38
YAL017W	STK38L
YAL017W	STK39
YAL017W	STK4
YAL017W	SYK
YAL017W	TAOK1
YAL017W	TAOK3
YAL017W	TEC
YAL017W	TESK2
YAL017W	TGFBR1
YAL017W	TGFBR2
YAL017W	TLK1
YAL017W	TLK2
YAL017W	TNIK
YAL017W	TNK1
YAL017W	TNNI3K
YAL017W	TP53RK
YAL017W	TRIB3
YAL017W	TSSK1B
YAL017W	TSSK2
YAL017W	TSSK3
YAL017W	TSSK4
YAL017W	TSSK6
YAL017W	TXK
YAL017W	TYK2
YAL017W	ULK1
YAL017W	VRK1
YAL017W	VRK2
YAL017W	WNK1
YAL017W	WNK2
YAL017W	WNK3
YAL017W	WNK4
YAL017W	ZAP70
YAL021C	APEX1
YAL021C	CNOT6
YAL021C	CNOT6L
YAL021C	INPPL1
YAL022C	SLC29A1
YAL022C	SLC29A2
YAL022C	SLC29A3
YAL023C	POMT1
YAL023C	POMT2
YAL024C	BCAR3
YAL026C	ATP10A
YAL026C	ATP10B
YAL026C	ATP10D
YAL026C	ATP11A
YAL026C	ATP11B
YAL026C	ATP11C
YAL026C	ATP8A1
YAL026C	ATP8B1
YAL026C	ATP8B3
YAL026C	ATP9A
YAL026C	ATP9B
YAL030W	VAMP7
YAL030W	VAMP8
YAL032C	SNW1
YAL033W	POP5
YAL033W	RPP14
YAL034W-A	MIS12
YAL035W	EIF2S3
YAL035W	EIF5B
YAL036C	GNL1
YAL036C	GNL2
YAL036C	GNL3
YAL036C	GNL3L
YAL036C	GTPBP10
YAL036C	GTPBP4
YAL036C	LSG1
YAL036C	MTG1
YAL038W	PKLR
YAL038W	PKM
YAL040C	CCNA1
YAL040C	CCNA2
YAL040C	CCNB1
YAL040C	CCNB2
YAL040C	CCNB3
YAL040C	CCNC
YAL040C	CCND1
YAL040C	CCNE1
YAL040C	CCNE2
YAL040C	CCNG1
YAL040C	CCNH
YAL040C	CCNI2
YAL040C	CCNK
YAL040C	CCNL1
YAL040C	CCNL2
YAL040C	CCNO
YAL040C	CCNT1
YAL040C	CCNT2
YAL040C	CCNY
YAL040C	CCNYL1
YAL040C	CNTD2
YAL040C	FAM58A
YAL041W	ABR
YAL041W	AKAP13
YAL041W	ARHGEF11
YAL041W	ARHGEF12
YAL041W	ARHGEF16
YAL041W	ARHGEF17
YAL041W	ARHGEF18
YAL041W	ARHGEF2
YAL041W	ARHGEF3
YAL041W	ARHGEF4
YAL041W	ARHGEF6
YAL041W	ARHGEF7
YAL041W	ARHGEF9
YAL041W	BCR
YAL041W	ECT2
YAL041W	FGD1
YAL041W	FGD2
YAL041W	FGD3
YAL041W	FGD4
YAL041W	ITSN1
YAL041W	KALRN
YAL041W	MCF2
YAL041W	MCF2L
YAL041W	NET1
YAL041W	NGEF
YAL041W	OBSCN
YAL041W	PLEKHG2
YAL041W	PLEKHG5
YAL041W	PREX1
YAL041W	RASGRF1
YAL041W	RASGRF2
YAL041W	SOS1
YAL041W	SOS2
YAL041W	TIAM1
YAL041W	TIAM2
YAL041W	TRIO
YAL041W	VAV1
YAL041W	VAV2
YAL041W	VAV3
YAL042W	ERGIC1
YAL043C	SYMPK
YAL044C	FAM206A
YAL044C	GCSH
YAL044W-A	BOLA3
YAL046C	BOLA3
YAL048C	ARF3
YAL048C	ARF4
YAL048C	ARF5
YAL048C	ARF6
YAL048C	RAB10
YAL048C	RAB11A
YAL048C	RAB13
YAL048C	RAB14
YAL048C	RAB1A
YAL048C	RAB2B
YAL048C	RAB39B
YAL048C	RAB4B
YAL048C	SAR1A
YAL048C	SAR1B
YAL049C	LYPLAL1
YAL054C	ACSS1
YAL054C	ACSS2
YAL058W	CALR
YAL058W	CALR3
YAL058W	CANX
YAL058W	CLGN
YAL061W	ZADH2
YAL062W	GLUD1
YAL062W	GLUD2
YAL067C	FLVCR1
YAL067C	MFSD10
YAL067C	MFSD12
YAL067C	MFSD2A
YAL067C	MFSD5
YAL067C	SLC16A2
YAL067C	SLC19A3
YAL067C	SLC37A4
YAL067C	SLC45A4
YAL067C	SLC46A2
YAR002C-A	TMED10
YAR002C-A	TMED2
YAR003W	CHAF1B
YAR003W	CIRH1A
YAR003W	EED
YAR003W	HIRA
YAR003W	PREB
YAR003W	RBBP4
YAR003W	RBBP5
YAR003W	TBL1Y
YAR003W	TLE2
YAR003W	TLE3
YAR003W	TLE4
YAR003W	TLE6
YAR003W	TRAF7
YAR003W	TULP4
YAR003W	WDR5
YAR007C	NABP1
YAR007C	NABP2
YAR007C	RPA1
YAR007C	RPA2
YAR007C	RPA4
YAR008W	TSEN2
YAR008W	TSEN34
YAR014C	ABI2
YAR014C	ABL1
YAR014C	ARHGAP10
YAR014C	ARHGAP4
YAR014C	GAS7
YAR014C	HCLS1
YAR014C	MAP3K9
YAR014C	MAPK8IP1
YAR014C	NCKIPSD
YAR014C	NEDD9
YAR014C	SH3D19
YAR014C	SH3KBP1
YAR014C	VAV1
YAR015W	PAICS
YAR018C	BUB1
YAR018C	NEK2
YAR018C	NEK6
YAR018C	SRPK1
YAR018C	TLK2
YAR019C	AAK1
YAR019C	ACVR1
YAR019C	ACVR1B
YAR019C	ACVR1C
YAR019C	ACVRL1
YAR019C	AKT1
YAR019C	AKT3
YAR019C	ARAF
YAR019C	AURKA
YAR019C	AURKB
YAR019C	AURKC
YAR019C	BMPR1A
YAR019C	BMPR1B
YAR019C	BMX
YAR019C	BRAF
YAR019C	BRSK1
YAR019C	BRSK2
YAR019C	BTK
YAR019C	CAMK1
YAR019C	CAMK2A
YAR019C	CAMK2B
YAR019C	CAMK2D
YAR019C	CAMK2G
YAR019C	CAMK4
YAR019C	CAMKK2
YAR019C	CDC42BPA
YAR019C	CDC42BPB
YAR019C	CDC42BPG
YAR019C	CDK11A
YAR019C	CDK11B
YAR019C	CDK16
YAR019C	CDK17
YAR019C	CDK18
YAR019C	CDK4
YAR019C	CDK6
YAR019C	CDK9
YAR019C	CDKL1
YAR019C	CDKL5
YAR019C	CHUK
YAR019C	CLK2
YAR019C	CLK3
YAR019C	CSK
YAR019C	CSNK1A1
YAR019C	CSNK1D
YAR019C	CSNK1E
YAR019C	CSNK1G2
YAR019C	CSNK2A1
YAR019C	DAPK1
YAR019C	DAPK2
YAR019C	DAPK3
YAR019C	DCLK1
YAR019C	DMPK
YAR019C	DYRK1A
YAR019C	DYRK1B
YAR019C	DYRK2
YAR019C	DYRK3
YAR019C	DYRK4
YAR019C	EIF2AK2
YAR019C	EIF2AK3
YAR019C	EIF2AK4
YAR019C	EPHB2
YAR019C	ERBB2
YAR019C	ERN1
YAR019C	ERN2
YAR019C	FER
YAR019C	FES
YAR019C	FGFR1
YAR019C	FGR
YAR019C	FRK
YAR019C	FYN
YAR019C	GSG2
YAR019C	GSK3A
YAR019C	GSK3B
YAR019C	HCK
YAR019C	HIPK3
YAR019C	ICK
YAR019C	IGF1R
YAR019C	IKBKB
YAR019C	IKBKE
YAR019C	ILK
YAR019C	IRAK1
YAR019C	IRAK2
YAR019C	IRAK3
YAR019C	JAK1
YAR019C	JAK2
YAR019C	JAK3
YAR019C	KALRN
YAR019C	KSR1
YAR019C	LATS1
YAR019C	LATS2
YAR019C	LCK
YAR019C	LIMK1
YAR019C	LMTK2
YAR019C	LTK
YAR019C	LYN
YAR019C	MAK
YAR019C	MAP2K2
YAR019C	MAP3K1
YAR019C	MAP3K11
YAR019C	MAP3K12
YAR019C	MAP3K13
YAR019C	MAP3K2
YAR019C	MAP3K6
YAR019C	MAP3K8
YAR019C	MAP3K9
YAR019C	MAP4K1
YAR019C	MAP4K2
YAR019C	MAP4K3
YAR019C	MAP4K4
YAR019C	MAP4K5
YAR019C	MAPK3
YAR019C	MAPK4
YAR019C	MAPK6
YAR019C	MAPKAPK2
YAR019C	MARK1
YAR019C	MARK2
YAR019C	MARK4
YAR019C	MAST1
YAR019C	MAST2
YAR019C	MATK
YAR019C	MERTK
YAR019C	MINK1
YAR019C	MKNK1
YAR019C	MKNK2
YAR019C	MLK4
YAR019C	MLTK
YAR019C	MOK
YAR019C	MST4
YAR019C	MYLK
YAR019C	MYLK3
YAR019C	NEK11
YAR019C	NEK2
YAR019C	NEK3
YAR019C	NEK4
YAR019C	NEK6
YAR019C	NEK7
YAR019C	NLK
YAR019C	NTRK1
YAR019C	NUAK2
YAR019C	OXSR1
YAR019C	PAK1
YAR019C	PAK2
YAR019C	PASK
YAR019C	PBK
YAR019C	PDPK1
YAR019C	PHKG2
YAR019C	PIK3R4
YAR019C	PIM1
YAR019C	PIM2
YAR019C	PIM3
YAR019C	PINK1
YAR019C	PKN1
YAR019C	PKN2
YAR019C	PKN3
YAR019C	PLK1
YAR019C	PLK2
YAR019C	PLK3
YAR019C	PLK4
YAR019C	PRKAA1
YAR019C	PRKAA2
YAR019C	PRKACA
YAR019C	PRKACB
YAR019C	PRKCA
YAR019C	PRKCB
YAR019C	PRKCD
YAR019C	PRKCE
YAR019C	PRKCG
YAR019C	PRKCH
YAR019C	PRKCI
YAR019C	PRKCQ
YAR019C	PRKCZ
YAR019C	PRKD2
YAR019C	PRKD3
YAR019C	PRKG1
YAR019C	PRKG2
YAR019C	PRPF4B
YAR019C	PSKH1
YAR019C	PTK2B
YAR019C	PTK6
YAR019C	RAF1
YAR019C	RET
YAR019C	RNASEL
YAR019C	ROCK1
YAR019C	ROCK2
YAR019C	ROS1
YAR019C	RPS6KA4
YAR019C	RPS6KA5
YAR019C	RPS6KB1
YAR019C	SCYL3
YAR019C	SGK1
YAR019C	SGK2
YAR019C	SGK3
YAR019C	SIK1
YAR019C	SIK2
YAR019C	SIK3
YAR019C	SNRK
YAR019C	SRPK1
YAR019C	SRPK2
YAR019C	SRPK3
YAR019C	STK10
YAR019C	STK11
YAR019C	STK17A
YAR019C	STK17B
YAR019C	STK24
YAR019C	STK3
YAR019C	STK36
YAR019C	STK38
YAR019C	STK38L
YAR019C	STK39
YAR019C	STK4
YAR019C	SYK
YAR019C	TAOK1
YAR019C	TAOK3
YAR019C	TEC
YAR019C	TESK2
YAR019C	TGFBR1
YAR019C	TGFBR2
YAR019C	TLK1
YAR019C	TLK2
YAR019C	TNIK
YAR019C	TNK1
YAR019C	TNNI3K
YAR019C	TP53RK
YAR019C	TRIB3
YAR019C	TSSK1B
YAR019C	TSSK2
YAR019C	TSSK3
YAR019C	TSSK4
YAR019C	TSSK6
YAR019C	TXK
YAR019C	TYK2
YAR019C	ULK1
YAR019C	VRK1
YAR019C	VRK2
YAR019C	WNK1
YAR019C	WNK2
YAR019C	WNK3
YAR019C	WNK4
YAR019C	ZAP70
YAR035W	CPT1A
YAR042W	ANK1
YAR042W	CADPS
YAR042W	CYTH2
YAR042W	DGKD
YAR042W	DNM1
YAR042W	DNM2
YAR042W	DNM3
YAR042W	ITSN1
YBL003C	H2AFX
YBL007C	ABL1
YBL007C	BCAR1
YBL007C	BIN1
YBL007C	DBNL
YBL007C	DLG1
YBL007C	FNBP1
YBL007C	ITSN1
YBL007C	ITSN2
YBL007C	MYO1E
YBL007C	NCK1
YBL007C	NCK2
YBL007C	NOSTRIN
YBL007C	PACSIN1
YBL007C	PACSIN2
YBL007C	PACSIN3
YBL007C	SH3BP4
YBL007C	SH3GL1
YBL007C	SH3GL3
YBL007C	SH3KBP1
YBL007C	SNX18
YBL007C	SPTA1
YBL007C	TRIP10
YBL008W	BRWD1
YBL008W	CIAO1
YBL008W	ELP2
YBL008W	HIRA
YBL008W	MED16
YBL008W	TAF5
YBL008W	WDR77
YBL009W	GSG2
YBL011W	AGPAT3
YBL011W	AGPAT4
YBL011W	AGPAT5
YBL011W	GNPAT
YBL011W	GPAM
YBL011W	LPCAT1
YBL016W	AAK1
YBL016W	ACVR1
YBL016W	ACVR1B
YBL016W	ACVR1C
YBL016W	ACVRL1
YBL016W	AKT1
YBL016W	AKT3
YBL016W	ARAF
YBL016W	AURKA
YBL016W	AURKC
YBL016W	BMPR1A
YBL016W	BMPR1B
YBL016W	BMX
YBL016W	BRAF
YBL016W	BRSK1
YBL016W	BRSK2
YBL016W	BTK
YBL016W	CAMK1
YBL016W	CAMK2A
YBL016W	CAMK2B
YBL016W	CAMK2D
YBL016W	CAMK2G
YBL016W	CAMK4
YBL016W	CAMKK2
YBL016W	CDC42BPA
YBL016W	CDC42BPB
YBL016W	CDC42BPG
YBL016W	CDK11A
YBL016W	CDK11B
YBL016W	CDK16
YBL016W	CDK17
YBL016W	CDK18
YBL016W	CDK4
YBL016W	CDK6
YBL016W	CDK7
YBL016W	CDK9
YBL016W	CDKL1
YBL016W	CDKL5
YBL016W	CHUK
YBL016W	CLK2
YBL016W	CLK3
YBL016W	CSK
YBL016W	CSNK1A1
YBL016W	CSNK1D
YBL016W	CSNK1E
YBL016W	CSNK1G2
YBL016W	CSNK2A1
YBL016W	DAPK1
YBL016W	DAPK2
YBL016W	DAPK3
YBL016W	DCLK1
YBL016W	DMPK
YBL016W	DYRK1A
YBL016W	DYRK1B
YBL016W	DYRK2
YBL016W	DYRK3
YBL016W	DYRK4
YBL016W	EIF2AK2
YBL016W	EIF2AK3
YBL016W	EIF2AK4
YBL016W	EPHB2
YBL016W	ERBB2
YBL016W	ERN1
YBL016W	ERN2
YBL016W	FER
YBL016W	FES
YBL016W	FGFR1
YBL016W	FGR
YBL016W	FRK
YBL016W	FYN
YBL016W	GSG2
YBL016W	GSK3A
YBL016W	GSK3B
YBL016W	HCK
YBL016W	HIPK3
YBL016W	ICK
YBL016W	IGF1R
YBL016W	IKBKB
YBL016W	IKBKE
YBL016W	ILK
YBL016W	IRAK1
YBL016W	IRAK2
YBL016W	IRAK3
YBL016W	JAK1
YBL016W	JAK2
YBL016W	JAK3
YBL016W	KALRN
YBL016W	KSR1
YBL016W	LATS1
YBL016W	LATS2
YBL016W	LCK
YBL016W	LIMK1
YBL016W	LMTK2
YBL016W	LTK
YBL016W	LYN
YBL016W	MAK
YBL016W	MAP2K1
YBL016W	MAP2K2
YBL016W	MAP2K6
YBL016W	MAP3K1
YBL016W	MAP3K11
YBL016W	MAP3K12
YBL016W	MAP3K13
YBL016W	MAP3K2
YBL016W	MAP3K6
YBL016W	MAP3K8
YBL016W	MAP3K9
YBL016W	MAP4K1
YBL016W	MAP4K2
YBL016W	MAP4K3
YBL016W	MAP4K4
YBL016W	MAP4K5
YBL016W	MAPK12
YBL016W	MAPK3
YBL016W	MAPK4
YBL016W	MAPK6
YBL016W	MAPKAPK2
YBL016W	MARK1
YBL016W	MARK2
YBL016W	MARK4
YBL016W	MAST1
YBL016W	MAST2
YBL016W	MATK
YBL016W	MERTK
YBL016W	MINK1
YBL016W	MKNK1
YBL016W	MKNK2
YBL016W	MLK4
YBL016W	MLTK
YBL016W	MOK
YBL016W	MST4
YBL016W	MYLK
YBL016W	MYLK3
YBL016W	NEK11
YBL016W	NEK2
YBL016W	NEK3
YBL016W	NEK4
YBL016W	NEK6
YBL016W	NEK7
YBL016W	NLK
YBL016W	NTRK1
YBL016W	NUAK2
YBL016W	OXSR1
YBL016W	PAK1
YBL016W	PAK2
YBL016W	PASK
YBL016W	PBK
YBL016W	PDPK1
YBL016W	PHKG2
YBL016W	PIK3R4
YBL016W	PIM1
YBL016W	PIM2
YBL016W	PIM3
YBL016W	PINK1
YBL016W	PKN1
YBL016W	PKN2
YBL016W	PKN3
YBL016W	PLK1
YBL016W	PLK2
YBL016W	PLK3
YBL016W	PLK4
YBL016W	PRKAA1
YBL016W	PRKAA2
YBL016W	PRKACA
YBL016W	PRKACB
YBL016W	PRKCA
YBL016W	PRKCB
YBL016W	PRKCD
YBL016W	PRKCE
YBL016W	PRKCG
YBL016W	PRKCH
YBL016W	PRKCI
YBL016W	PRKCQ
YBL016W	PRKCZ
YBL016W	PRKD2
YBL016W	PRKD3
YBL016W	PRKG1
YBL016W	PRKG2
YBL016W	PRPF4B
YBL016W	PSKH1
YBL016W	PTK2B
YBL016W	PTK6
YBL016W	RAF1
YBL016W	RET
YBL016W	RNASEL
YBL016W	ROCK1
YBL016W	ROCK2
YBL016W	ROS1
YBL016W	RPS6KA4
YBL016W	RPS6KA5
YBL016W	RPS6KB1
YBL016W	SCYL3
YBL016W	SGK1
YBL016W	SGK2
YBL016W	SGK3
YBL016W	SIK1
YBL016W	SIK2
YBL016W	SIK3
YBL016W	SNRK
YBL016W	SRPK1
YBL016W	SRPK2
YBL016W	SRPK3
YBL016W	STK10
YBL016W	STK11
YBL016W	STK17A
YBL016W	STK17B
YBL016W	STK24
YBL016W	STK3
YBL016W	STK36
YBL016W	STK38
YBL016W	STK38L
YBL016W	STK39
YBL016W	STK4
YBL016W	STRADA
YBL016W	STRADB
YBL016W	SYK
YBL016W	TAOK1
YBL016W	TAOK3
YBL016W	TEC
YBL016W	TESK2
YBL016W	TGFBR1
YBL016W	TGFBR2
YBL016W	TLK1
YBL016W	TLK2
YBL016W	TNIK
YBL016W	TNK1
YBL016W	TNNI3K
YBL016W	TP53RK
YBL016W	TRIB3
YBL016W	TSSK1B
YBL016W	TSSK2
YBL016W	TSSK3
YBL016W	TSSK4
YBL016W	TSSK6
YBL016W	TXK
YBL016W	TYK2
YBL016W	UHMK1
YBL016W	ULK1
YBL016W	VRK1
YBL016W	VRK2
YBL016W	WNK1
YBL016W	WNK2
YBL016W	WNK3
YBL016W	WNK4
YBL016W	ZAP70
YBL019W	APEX1
YBL019W	NEIL3
YBL022C	AFG3L2
YBL022C	CRBN
YBL022C	LONRF1
YBL022C	LONRF2
YBL022C	LONRF3
YBL022C	PSMC1
YBL022C	PSMC2
YBL022C	PSMC4
YBL022C	SPG7
YBL023C	MCM2
YBL023C	MCM3
YBL023C	MCM4
YBL023C	MCM5
YBL023C	MCM6
YBL023C	MCM7
YBL024W	NSUN2
YBL026W	LSM2
YBL026W	LSM3
YBL026W	LSM7
YBL026W	NAA38
YBL026W	SNRPB
YBL026W	SNRPD1
YBL026W	SNRPD2
YBL026W	SNRPD3
YBL026W	SNRPE
YBL026W	SNRPF
YBL026W	SNRPG
YBL027W	RPL19
YBL030C	SLC25A10
YBL030C	SLC25A14
YBL030C	SLC25A17
YBL030C	SLC25A30
YBL030C	SLC25A32
YBL030C	SLC25A42
YBL030C	UCP1
YBL030C	UCP2
YBL030C	UCP3
YBL034C	CLASP1
YBL034C	CLASP2
YBL035C	POLA2
YBL035C	POLE2
YBL037W	AP1B1
YBL037W	AP1G1
YBL037W	AP1G2
YBL037W	AP2A2
YBL037W	AP2B1
YBL037W	AP3B1
YBL037W	AP3B2
YBL037W	AP3D1
YBL037W	AP4B1
YBL037W	AP4E1
YBL037W	COPB1
YBL037W	COPG1
YBL037W	COPG2
YBL037W	GGA1
YBL037W	GGA2
YBL037W	GGA3
YBL038W	MRPL16
YBL038W	RPL10
YBL038W	RPL10L
YBL039C	CTPS1
YBL040C	KDELR1
YBL040C	KDELR2
YBL040C	KDELR3
YBL041W	PSMA1
YBL041W	PSMA2
YBL041W	PSMA3
YBL041W	PSMA4
YBL041W	PSMA6
YBL041W	PSMA7
YBL041W	PSMA8
YBL041W	PSMB6
YBL045C	UQCRC1
YBL045C	UQCRC2
YBL047C	TNK2
YBL052C	KAT5
YBL052C	KAT6A
YBL052C	KAT6B
YBL052C	KAT8
YBL056W	ILKAP
YBL056W	PDP1
YBL056W	PHLPP2
YBL056W	PPM1A
YBL056W	PPM1B
YBL056W	PPM1D
YBL056W	PPM1F
YBL056W	PPM1G
YBL056W	PPM1J
YBL056W	PPM1K
YBL056W	PPM1L
YBL056W	PPM1M
YBL058W	FAF1
YBL058W	UBXN1
YBL064C	GPX7
YBL064C	GPX8
YBL064C	PRDX2
YBL064C	PRDX3
YBL064C	PRDX5
YBL064C	PRDX6
YBL067C	USP53
YBL068W	APRT
YBL068W	HPRT1
YBL068W	PPAT
YBL068W	UMPS
YBL071W-A	DPH3
YBL072C	RPS8
YBL075C	HSPA14
YBL075C	HSPA1L
YBL075C	HSPA4L
YBL075C	HSPA8
YBL075C	HSPA9
YBL075C	HSPH1
YBL075C	HYOU1
YBL078C	ATG12
YBL078C	GABARAP
YBL078C	GABARAPL1
YBL078C	GABARAPL2
YBL078C	MAP1LC3A
YBL078C	MAP1LC3B
YBL078C	MAP1LC3B2
YBL078C	MAP1LC3C
YBL079W	NUP133
YBL079W	NUP155
YBL080C	PET112
YBL082C	ALG3
YBL084C	ANAPC7
YBL084C	CDC16
YBL084C	CDC23
YBL084C	CDC27
YBL085W	ARHGAP4
YBL085W	CNKSR1
YBL085W	MCF2L
YBL085W	ROCK1
YBL085W	RTKN
YBL085W	SRGAP1
YBL087C	MRPL14
YBL087C	RPL23
YBL088C	ATM
YBL088C	ATR
YBL088C	MTOR
YBL088C	PRKDC
YBL090W	MRPS21
YBL091C	METAP1
YBL091C	METAP1D
YBL091C	METAP2
YBL091C	PEPD
YBL091C	XPNPEP1
YBL091C	XPNPEP2
YBL091C	XPNPEP3
YBL092W	RPL32
YBL097W	NCAPH
YBL098W	KMO
YBL099W	ATP5A1
YBL099W	ATP5B
YBL103C	MYC
YBL103C	TCF4
YBL105C	AAK1
YBL105C	ABL2
YBL105C	ABR
YBL105C	ACVR1
YBL105C	ACVR1B
YBL105C	ACVR1C
YBL105C	ACVR2B
YBL105C	ACVRL1
YBL105C	ADRBK1
YBL105C	ADRBK2
YBL105C	AKT1
YBL105C	AKT2
YBL105C	AKT3
YBL105C	ALK
YBL105C	AMHR2
YBL105C	ARAF
YBL105C	ARHGEF2
YBL105C	AURKA
YBL105C	AURKC
YBL105C	AXL
YBL105C	BCR
YBL105C	BLK
YBL105C	BMPR1A
YBL105C	BMPR1B
YBL105C	BMX
YBL105C	BRAF
YBL105C	BRSK1
YBL105C	BRSK2
YBL105C	BTK
YBL105C	CAMK1
YBL105C	CAMK2A
YBL105C	CAMK2B
YBL105C	CAMK2D
YBL105C	CAMK2G
YBL105C	CAMK4
YBL105C	CAMKK2
YBL105C	CAPN5
YBL105C	CC2D1A
YBL105C	CDC42BPA
YBL105C	CDC42BPB
YBL105C	CDC42BPG
YBL105C	CDK11A
YBL105C	CDK11B
YBL105C	CDK16
YBL105C	CDK17
YBL105C	CDK18
YBL105C	CDK4
YBL105C	CDK6
YBL105C	CDK9
