Q0045		MT-CO1
YBL002W		HIST2H2BE
YBL003C		H2AFX
YBL003C		HIST2H2AB
YBL004W		UTP20
YBL008W		HIRA
YBL013W		MTFMT
YBL016W		MAPK1
YBL016W		MAPK15
YBL016W		MAPK3
YBL016W		MAPK4
YBL016W		MAPK6
YBL016W		MAPK7
YBL016W		NLK
YBL017C		SORCS1
YBL017C		SORCS2
YBL017C		SORCS3
YBL017C		SORT1
YBL019W		APEX1
YBL019W		APEX2
YBL020W		RFT1
YBL021C		NFYB
YBL021C		POLE3
YBL022C		LONP1
YBL022C		LONP2
YBL023C		MCM2
YBL024W		NSUN2
YBL026W		LSM2
YBL027W		RPL19
YBL030C		SLC25A31
YBL030C		SLC25A4
YBL030C		SLC25A5
YBL030C		SLC25A6
YBL035C		POLA2
YBL036C		PROSC
YBL037W		AP2A1
YBL037W		AP2A2
YBL039C		CTPS1
YBL039C		CTPS2
YBL040C		KDELR1
YBL040C		KDELR2
YBL040C		KDELR3
YBL041W		PSMB1
YBL047C		EPS15
YBL047C		EPS15L1
YBL047C		ITSN1
YBL047C		ITSN2
YBL049W		YPEL1
YBL049W		YPEL2
YBL049W		YPEL3
YBL049W		YPEL4
YBL049W		YPEL5
YBL050W		NAPA
YBL050W		NAPB
YBL055C		TATDN1
YBL055C		TATDN3
YBL056W		PPM1A
YBL056W		PPM1B
YBL056W		PPM1D
YBL056W		PPM1G
YBL056W		PPM1N
YBL057C		PTRH2
YBL058W		NSFL1C
YBL058W		UBXN2A
YBL058W		UBXN2B
YBL063W		KIF11
YBL063W		KIF21A
YBL063W		KIF21B
YBL063W		KIF27
YBL063W		KIF4A
YBL063W		KIF4B
YBL063W		KIF7
YBL064C		PRDX6
YBL067C		USP1
YBL067C		USP12
YBL067C		USP35
YBL067C		USP38
YBL067C		USP46
YBL068W		PRPS1
YBL068W		PRPS1L1
YBL068W		PRPS2
YBL068W		PRPSAP1
YBL068W		PRPSAP2
YBL071W-A		DPH3
YBL072C		RPS8
YBL076C		IARS
YBL078C		GABARAP
YBL078C		GABARAPL1
YBL078C		GABARAPL2
YBL078C		GABARAPL3
YBL078C		MAP1LC3A
YBL078C		MAP1LC3B
YBL078C		MAP1LC3B2
YBL078C		MAP1LC3C
YBL079W		NUP155
YBL080C		PET112
YBL082C		ALG3
YBL084C		CDC27
YBL087C		RPL23
YBL088C		ATM
YBL091C		METAP2
YBL091C		PA2G4
YBL091C-A		VAPA
YBL091C-A		VAPB
YBL092W		RPL32
YBL097W		NCAPH
YBL098W		KMO
YBL099W		ATP5A1
YBL102W		SFT2D3
YBL104C		MIOS
YBL105C		PKN1
YBL105C		PKN2
YBL105C		PKN3
YBL105C		PRKCI
YBL105C		PRKCZ
YBR001C		TREH
YBR002C		DHDDS
YBR003W		PDSS1
YBR003W		PDSS2
YBR006W		ALDH5A1
YBR009C		HIST1H4D
YBR009C		HIST1H4G
YBR010W		H3F3A
YBR010W		H3F3B
YBR010W		H3F3C
YBR011C		PPA1
YBR011C		PPA2
YBR017C		TNPO1
YBR017C		TNPO2
YBR018C		GALT
YBR019C		GALE
YBR019C		TGDS
YBR019C		UXS1
YBR020W		GALK1
YBR020W		GALK2
YBR024W		SCO1
YBR024W		SCO2
YBR025C		OLA1
YBR026C		MECR
YBR029C		CDS1
YBR029C		CDS2
YBR031W		RPL4
YBR034C		CARM1
YBR034C		PRMT1
YBR034C		PRMT2
YBR034C		PRMT3
YBR034C		PRMT6
YBR034C		PRMT8
YBR035C		PNPO
YBR037C		SCO1
YBR037C		SCO2
YBR039W		ATP5C1
YBR041W		SLC27A1
YBR041W		SLC27A2
YBR041W		SLC27A3
YBR041W		SLC27A4
YBR041W		SLC27A5
YBR041W		SLC27A6
YBR042C		AGPAT3
YBR042C		AGPAT4
YBR042C		AGPAT5
YBR042C		LCLAT1
YBR046C		CRYZ
YBR046C		TP53I3
YBR046C		VAT1
YBR046C		VAT1L
YBR046C		ZADH2
YBR048W		RPS11
YBR049C		DMTF1
YBR049C		TTF1
YBR055C		PRPF6
YBR058C		USP13
YBR058C		USP5
YBR059C		AAK1
YBR059C		BMP2K
YBR060C		ORC2
YBR061C		FTSJ1
YBR061C		FTSJ2
YBR065C		RBM22
YBR070C		ALG14
YBR074W		ERMP1
YBR079C		EIF3A
YBR079C		SAFB
YBR079C		SAFB2
YBR079C		SLTM
YBR080C		NSF
YBR082C		UBE2D1
YBR082C		UBE2D2
YBR082C		UBE2D3
YBR082C		UBE2D4
YBR082C		UBE2L3
YBR082C		UBE2L6
YBR084C-A		RPL19
YBR084W		AL445665.1
YBR084W		MTHFD1
YBR084W		MTHFD1L
YBR085W		SLC25A31
YBR085W		SLC25A4
YBR085W		SLC25A5
YBR085W		SLC25A6
YBR087W		RFC3
YBR088C		PCNA
YBR089C-A		HMGB4
YBR089C-A		TOX
YBR089C-A		TOX2
YBR089C-A		TOX3
YBR089C-A		TOX4
YBR097W		PIK3R4
YBR103W		TBL1X
YBR103W		TBL1XR1
YBR103W		TBL1Y
YBR103W		WDR17
YBR104W		SLC25A29
YBR104W		SLC25A45
YBR104W		SLC25A47
YBR104W		SLC25A48
YBR105C		GID4
YBR109C		CALM1
YBR109C		CALM2
YBR109C		CALM3
YBR109C		CALML3
YBR109C		CALML5
YBR110W		ALG1
YBR110W		ALG1L
YBR111C		NUDT5
YBR112C		IVL
YBR112C		ZNF853
YBR114W		TTF2
YBR115C		DHRS7
YBR115C		DHRS7B
YBR115C		DHRS7C
YBR115C		HSD17B1
YBR115C		KDSR
YBR115C		RDH8
YBR117C		TKT
YBR117C		TKTL1
YBR117C		TKTL2
YBR121C		GARS
YBR127C		ATP6V1B1
YBR127C		ATP6V1B2
YBR133C		PRMT5
YBR135W		CKS1B
YBR135W		CKS2
YBR136W		ATR
YBR139W		CPVL
YBR139W		CTSA
YBR140C		NF1
YBR142W		DDX24
YBR143C		ETF1
YBR146W		MRPS9
YBR147W		C3ORF55
YBR147W		PQLC2
YBR154C		POLR2E
YBR155W		TTC4
YBR159W		HSD17B12
YBR159W		HSD17B3
YBR159W		HSDL1
YBR160W		CDK1
YBR160W		CDK2
YBR160W		CDK3
YBR160W		CDK4
YBR160W		CDK6
YBR164C		ARL1
YBR164C		ARL17B
YBR164C		ARL5A
YBR164C		ARL5B
YBR164C		ARL5C
YBR164C		ARL6
YBR169C		HSPA4
YBR169C		HSPA4L
YBR169C		HSPH1
YBR169C		HYOU1
YBR170C		NPLOC4
YBR172C		GIGYF1
YBR172C		GIGYF2
YBR177C		ABHD1
YBR177C		ABHD15
YBR177C		ABHD2
YBR177C		ABHD3
YBR181C		RPS6
YBR182C		MEF2A
YBR182C		MEF2B
YBR182C		MEF2C
YBR182C		MEF2D
YBR183W		ACER1
YBR183W		ACER2
YBR183W		ACER3
YBR186W		TRIP13
YBR187W		TMEM165
YBR189W		RPS9
YBR191W		RPL21
YBR192W		SLC25A33
YBR192W		SLC25A36
YBR196C		GPI
YBR198C		RFWD2
YBR198C		TAF5
YBR198C		TAF5L
YBR202W		MCM7
YBR208C		MCCC1
YBR208C		PCCA
YBR210W		CNIH
YBR210W		CNIH2
YBR210W		CNIH3
YBR210W		CNIH4
YBR212W		C6ORF52
YBR212W		TRNAU1AP
YBR217W		ATG12
YBR218C		PC
YBR220C		MFSD3
YBR220C		SLC33A1
YBR221C		BCKDHB
YBR221C		PDHB
YBR222C		ACSF2
YBR222C		ACSF3
YBR223C		TDP1
YBR227C		CLPX
YBR228W		SLX1A
YBR228W		SLX1B
YBR229C		GAA
YBR229C		GANAB
YBR229C		GANC
YBR229C		MGAM
YBR229C		RP11-1220K2.2
YBR229C		SI
YBR231C		CFDP1
YBR233W		HNRNPK
YBR233W		PCBP1
YBR233W		PCBP2
YBR233W		PCBP3
YBR233W		PCBP4
YBR234C		ARPC1A
YBR234C		ARPC1B
YBR235W		SLC12A4
YBR235W		SLC12A5
YBR235W		SLC12A6
YBR235W		SLC12A7
YBR235W		SLC12A9
YBR236C		RNMT
YBR237W		DDX42
YBR237W		DDX46
YBR237W		DDX59
YBR241C		SLC2A1
YBR241C		SLC2A14
YBR241C		SLC2A2
YBR241C		SLC2A3
YBR241C		SLC2A4
YBR242W		HDDC2
YBR243C		DPAGT1
YBR244W		GPX1
YBR244W		GPX2
YBR244W		GPX3
YBR244W		GPX4
YBR244W		GPX5
YBR244W		GPX6
YBR244W		GPX7
YBR244W		GPX8
YBR245C		CHD1L
YBR246W		WDR85
YBR247C		BYSL
YBR251W		MRPS5
YBR252W		DUT
YBR254C		TRAPPC2
YBR254C		TRAPPC2P1
YBR257W		POP4
YBR261C		METTL11B
YBR261C		NTMT1
YBR263W		SHMT1
YBR263W		SHMT2
YBR264C		RAB34
YBR264C		RAB36
YBR267W		ZNF622
YBR274W		CHEK1
YBR274W		SBK1
YBR274W		SBK2
YBR274W		SGK110
YBR279W		PAF1
YBR291C		SLC25A1
YBR294W		SLC26A1
YBR294W		SLC26A10
YBR294W		SLC26A11
YBR294W		SLC26A2
YBR294W		SLC26A7
YBR294W		SLC26A8
YBR296C		SLC20A1
YBR296C		SLC20A2
YBR299W		SLC3A1
YBR299W		SLC3A2
YCL001W		RER1
YCL004W		PGS1
YCL008C		TSG101
YCL011C		HNRNPM
YCL011C		MYEF2
YCL016C		DSCC1
YCL017C		NFS1
YCL017C		SCLY
YCL024W		BRSK1
YCL024W		BRSK2
YCL024W		HUNK
YCL024W		STK40
YCL024W		TRIB1
YCL024W		TRIB2
YCL024W		TRIB3
YCL033C		MSRB2
YCL033C		MSRB3
YCL035C		GLRX
YCL035C		GLRX2
YCL039W		FBXW5
YCL039W		WDR26
YCL040W		GCK
YCL040W		HK1
YCL040W		HK2
YCL040W		HK3
YCL040W		HKDC1
YCL043C		DNAJC10
YCL043C		PDIA3
YCL043C		PDIA4
YCL043C		TXNDC5
YCL045C		EMC1
YCL054W		FTSJ3
YCL055W		METTL14
YCL057W		NLN
YCL057W		THOP1
YCL059C		KRR1
YCL064C		SDS
YCL064C		SDSL
YCR005C		CS
YCR009C		BIN3
YCR011C		ABCG1
YCR011C		ABCG2
YCR011C		ABCG4
YCR011C		ABCG5
YCR011C		ABCG8
YCR012W		PGK1
YCR012W		PGK2
YCR014C		DNTT
YCR014C		POLB
YCR014C		POLL
YCR014C		POLM
YCR017C		CWH43
YCR024C		NARS2
YCR026C		ENPP1
YCR026C		ENPP2
YCR026C		ENPP3
YCR026C		ENPP6
YCR027C		RHEB
YCR027C		RHEBL1
YCR031C		RPS14
YCR032W		LYST
YCR032W		NSMAF
YCR032W		WDFY3
YCR032W		WDFY4
YCR033W		NCOR1
YCR033W		NCOR2
YCR033W		RCOR1
YCR033W		RCOR2
YCR033W		RCOR3
YCR034W		ELOVL1
YCR034W		ELOVL3
YCR034W		ELOVL6
YCR034W		ELOVL7
YCR036W		RBKS
YCR037C		SLC13A1
YCR037C		SLC13A2
YCR037C		SLC13A3
YCR037C		SLC13A4
YCR037C		SLC13A5
YCR042C		TAF2
YCR044C		PGAP3
YCR045C		PCSK9
YCR047C		WBSCR22
YCR048W		DGAT1
YCR048W		SOAT1
YCR048W		SOAT2
YCR052W		SMARCD1
YCR052W		SMARCD2
YCR052W		SMARCD3
YCR053W		THNSL1
YCR053W		THNSL2
YCR054C		ATXN10
YCR057C		PWP2
YCR059C		IMPACT
YCR063W		BUD31
YCR065W		FOXJ1
YCR065W		FOXJ2
YCR065W		FOXJ3
YCR065W		FOXK1
YCR065W		FOXK2
YCR066W		RAD18
YCR072C		AAMP
YCR072C		NLE1
YCR073C		MAP3K4
YCR073W-A		PGLS
YCR075C		CTNS
YCR083W		TXN
YCR083W		TXNDC2
YCR083W		TXNDC8
YCR083W		TXNL1
YCR084C		DCAF11
YCR084C		RP11-468E2.6
YCR084C		WDR61
YCR087C-A		LYAR
YCR088W		CTTN
YCR088W		DBN1
YCR088W		DBNL
YCR088W		HCLS1
YCR090C		C1ORF123
YCR092C		MSH3
YCR093W		CNOT1
YCR094W		TMEM30A
YCR094W		TMEM30B
YCR094W		TMEM30C
YCR099C		SORCS1
YCR099C		SORCS2
YCR099C		SORCS3
YCR099C		SORT1
YCR100C		SORCS1
YCR100C		SORCS2
YCR100C		SORCS3
YCR100C		SORT1
YCR101C		SORCS1
YCR101C		SORCS2
YCR101C		SORCS3
YCR101C		SORT1
YDL004W		ATP5D
YDL006W		ILKAP
YDL006W		PPM1E
YDL006W		PPM1F
YDL006W		PPM1K
YDL006W		PPM1L
YDL007W		PSMC1
YDL008W		ANAPC11
YDL014W		FBL
YDL015C		TECR
YDL015C		TECRL
YDL017W		CDC7
YDL019C		OSBP
YDL019C		OSBP2
YDL022W		GPD1
YDL022W		GPD1L
YDL028C		TLK1
YDL028C		TLK2
YDL028C		TTK
YDL029W		ACTL10
YDL029W		ACTL8
YDL029W		ACTR2
YDL030W		SDE2
YDL030W		SF3A3
YDL031W		DDX54
YDL033C		TRMU
YDL036C		RPUSD2
YDL037C		MUC3A
YDL040C		NAA15
YDL040C		NAA16
YDL042C		SIRT1
YDL043C		SF3A2
YDL043C		SNRPC
YDL043C		WBP11
YDL043C		ZNF207
YDL045C		FLAD1
YDL047W		PPP6C
YDL051W		LARP7
YDL051W		SSB
YDL052C		AGPAT1
YDL052C		AGPAT2
YDL055C		GMPPA
YDL055C		GMPPB
YDL058W		CCDC110
YDL058W		CCDC18
YDL058W		GOLGB1
YDL058W		TRIP11
YDL060W		TSR1
YDL061C		RPS29
YDL064W		UBE2I
YDL066W		IDH1
YDL066W		IDH2
YDL070W		CREBBP
YDL070W		EP300
YDL070W		NCOA6
YDL074C		RNF20
YDL074C		RNF40
YDL075W		RPL31
YDL077C		TGFBRAP1
YDL077C		VPS39
YDL079C		AC006486.9
YDL079C		GSK3A
YDL079C		GSK3B
YDL081C		RPLP1
YDL082W		RPL13
YDL083C		RPS16
YDL084W		DDX39A
YDL084W		DDX39B
YDL087C		LUC7L
YDL087C		LUC7L2
YDL087C		LUC7L3
YDL087C		PRPF38A
YDL087C		SREK1
YDL087C		SRSF11
YDL090C		CHURC1-FNTB
YDL090C		FNTB
YDL091C		FAF1
YDL091C		FAF2
YDL093W		POMT1
YDL095W		POMT1
YDL097C		COPS2
YDL097C		PSMD11
YDL098C		ZMAT2
YDL100C		ASNA1
YDL101C		CHEK2
YDL101C		PRKD1
YDL101C		PRKD2
YDL101C		PRKD3
YDL102W		POLD1
YDL103C		UAP1
YDL103C		UAP1L1
YDL104C		OSGEPL1
YDL105W		EID3
YDL105W		NSMCE4A
YDL108W		CDK20
YDL108W		CDK7
YDL112W		TARBP1
YDL114W		DHRS3
YDL114W		HSD17B11
YDL114W		HSD17B13
YDL114W		RDH10
YDL114W		SDR16C5
YDL116W		NUP107
YDL119C		SLC25A38
YDL120W		FXN
YDL122W		USP30
YDL125C		HINT1
YDL125C		HINT2
YDL126C		VCP
YDL130W		RPLP1
YDL132W		CUL1
YDL132W		CUL2
YDL132W		CUL3
YDL132W		CUL4A
YDL132W		CUL4B
YDL132W		CUL5
YDL134C		PPP2CA
YDL134C		PPP2CB
YDL134C		PPP4C
YDL135C		ARHGDIA
YDL135C		ARHGDIB
YDL135C		ARHGDIG
YDL136W		RPL35
YDL137W		ARF6
YDL137W		TRIM23
YDL138W		SLC2A6
YDL138W		SLC2A8
YDL141W		HLCS
YDL142C		CRLS1
YDL143W		CCT4
YDL145C		COPA
YDL147W		COPS4
YDL147W		PSMD12
YDL148C		NOP14
YDL149W		ATG9A
YDL150W		POLR3D
YDL153C		UTP3
YDL154W		MSH5
YDL154W		MSH5-SAPCD1
YDL155W		CCNA1
YDL155W		CCNA2
YDL155W		CCNB1
YDL155W		CCNB2
YDL155W		CCNB3
YDL155W		CCNF
YDL156W		WDR76
YDL160C		DDX6
YDL164C		LIG1
YDL165W		CNOT2
YDL168W		ADH1A
YDL168W		ADH1B
YDL168W		ADH4
YDL168W		ADH5
YDL168W		ADH6
YDL168W		ADH7
YDL171C		DPYD
YDL174C		AGPS
YDL174C		LDHD
YDL175C		ZCCHC7
YDL178W		D2HGDH
YDL185W		ATP6V1A
YDL188C		PPP2CA
YDL188C		PPP2CB
YDL188C		PPP4C
YDL190C		UBE4A
YDL190C		UBE4B
YDL191W		RPL35
YDL192W		ARF6
YDL192W		TRIM23
YDL193W		NUS1
YDL194W		SLC2A6
YDL194W		SLC2A8
YDL195W		SEC31A
YDL195W		SEC31B
YDL200C		MGMT
YDL201W		METTL1
YDL205C		HMBS
YDL206W		SLC24A5
YDL206W		SLC24A6
YDL206W		SLC8A1
YDL206W		SLC8A2
YDL206W		SLC8A3
YDL207W		GLE1
YDL208W		NHP2
YDL216C		COPS5
YDL217C		TIMM22
YDL219W		DTD1
YDL226C		ARFGAP1
YDL229W		HSPA13
YDL230W		FRMPD2
YDL230W		PTPN13
YDL230W		PTPN14
YDL230W		PTPN20A
YDL230W		PTPN20B
YDL230W		PTPN21
YDL234C		SGSM1
YDL234C		SGSM2
YDL234C		TBC1D15
YDL234C		TBC1D16
YDL234C		TBC1D17
YDL234C		TBC1D21
YDL234C		TBC1D25
YDL236W		PDXP
YDL236W		PGP
YDL238C		GDA
YDL240W		ARHGAP36
YDL240W		ARHGAP6
YDL245C		SLC2A6
YDL245C		SLC2A8
YDL246C		SORD
YDR001C		TREH
YDR002W		RANBP1
YDR002W		RANBP2
YDR002W		RGPD1
YDR002W		RGPD2
YDR002W		RGPD3
YDR002W		RGPD4
YDR002W		RGPD5
YDR002W		RGPD6
YDR002W		RGPD8
YDR005C		MAF1
YDR006C		LL0XNC01-19D8.1
YDR006C		TCP11
YDR006C		TCP11L1
YDR006C		TCP11L2
YDR009W		GALK1
YDR009W		GALK2
YDR012W		RPL4
YDR013W		GINS1
YDR017C		IP6K1
YDR017C		IP6K2
YDR017C		IP6K3
YDR017C		IPMK
YDR018C		AGPAT3
YDR018C		AGPAT4
YDR018C		AGPAT5
YDR018C		LCLAT1
YDR019C		AMT
YDR021W		DDX21
YDR021W		DDX50
YDR023W		SARS
YDR025W		RPS11
YDR026C		DMTF1
YDR026C		TTF1
YDR030C		ERCC8
YDR036C		HIBCH
YDR037W		KARS
YDR044W		CPOX
YDR045C		POLR3K
YDR047W		UROD
YDR049W		ANKZF1
YDR050C		TPI1
YDR054C		CDC34
YDR054C		UBE2R2
YDR059C		UBE2D1
YDR059C		UBE2D2
YDR059C		UBE2D3
YDR059C		UBE2D4
YDR059C		UBE2L3
YDR059C		UBE2L6
YDR060W		CEBPZ
YDR062W		SPTLC2
YDR062W		SPTLC3
YDR064W		RPS13
YDR069C		USP17L10
YDR069C		USP17L11
YDR069C		USP17L12
YDR069C		USP17L13
YDR069C		USP17L15
YDR069C		USP17L17
YDR069C		USP17L18
YDR069C		USP17L19
YDR069C		USP17L2
YDR069C		USP17L20
YDR069C		USP17L21
YDR069C		USP17L22
YDR069C		USP17L23
YDR069C		USP17L24
YDR069C		USP17L25
YDR069C		USP17L26
YDR069C		USP17L27
YDR069C		USP17L28
YDR069C		USP17L29
YDR069C		USP17L30
YDR069C		USP17L5
YDR069C		USP36
YDR069C		USP42
YDR069C		USP50
YDR069C		USP8
YDR080W		VPS41
YDR083W		RRP8
YDR084C		FAM18A
YDR084C		FAM18B1
YDR084C		FAM18B2
YDR084C		FAM18B2-CDRT4
YDR086C		SEC61G
YDR087C		RRP1
YDR087C		RRP1B
YDR088C		SLU7
YDR091C		ABCE1
YDR092W		UBE2N
YDR092W		UBE2NL
YDR092W		UBE2T
YDR093W		ATP10A
YDR093W		ATP10B
YDR093W		ATP10D
YDR096W		KDM4A
YDR096W		KDM4B
YDR096W		KDM4C
YDR096W		KDM4D
YDR096W		KDM4E
YDR097C		MSH6
YDR098C		GLRX3
YDR099W		SFN
YDR099W		YWHAE
YDR099W		YWHAQ
YDR105C		RP11-296A16.1
YDR105C		SERINC1
YDR105C		SERINC2
YDR105C		SERINC3
YDR105C		SERINC4
YDR105C		SERINC5
YDR107C		RP11-468E2.2
YDR107C		TM9SF1
YDR107C		TM9SF2
YDR107C		TM9SF3
YDR107C		TM9SF4
YDR109C		FGGY
YDR111C		GPT
YDR111C		GPT2
YDR117C		EIF2D
YDR120C		TRMT1
YDR120C		TRMT1L
YDR122W		NUAK1
YDR122W		NUAK2
YDR126W		ZDHHC1
YDR126W		ZDHHC11
YDR126W		ZDHHC11B
YDR126W		ZDHHC4
YDR128W		WDR24
YDR128W		WDR59
YDR129C		LCP1
YDR129C		PLS1
YDR129C		PLS3
YDR135C		ABCC2
YDR135C		ABCC3
YDR135C		ABCC4
YDR135C		ABCC6
YDR135C		CFTR
YDR139C		NEDD8
YDR140W		N6AMT1
YDR141C		DOPEY1
YDR141C		DOPEY2
YDR142C		PEX7
YDR145W		TAF12
YDR147W		CHKA
YDR147W		CHKB
YDR147W		CHKB-CPT1B
YDR147W		ETNK1
YDR147W		ETNK2
YDR148C		DLST
YDR151C		ZFP36
YDR151C		ZFP36L1
YDR151C		ZFP36L2
YDR152W		RWDD1
YDR155C		PPIA
YDR155C		PPIAL4A
YDR155C		PPIAL4B
YDR155C		PPIAL4C
YDR155C		PPIAL4D
YDR155C		PPIAL4G
YDR155C		PPIE
YDR155C		PPIF
YDR159W		MCM3AP
YDR159W		SAC3D1
YDR164C		STXBP1
YDR164C		STXBP2
YDR164C		STXBP3
YDR165W		WDR4
YDR167W		TAF10
YDR170C		ARFGEF1
YDR170C		ARFGEF2
YDR170C		CTC-273B12.7
YDR170C		CYTH1
YDR170C		CYTH2
YDR170C		CYTH3
YDR170C		CYTH4
YDR172W		GSPT1
YDR172W		GSPT2
YDR172W		HBS1L
YDR177W		UBE2K
YDR180W		NIPBL
YDR182W		MPPE1
YDR183W		TXNDC9
YDR185C		PRELID2
YDR185C		SLMO1
YDR185C		SLMO2
YDR188W		CCT6A
YDR188W		CCT6B
YDR189W		SCFD1
YDR190C		RUVBL1
YDR196C		DCAKD
YDR204W		COQ4
YDR205W		SLC30A5
YDR205W		SLC30A6
YDR205W		SLC30A7
YDR208W		PIP5K1A
YDR208W		PIP5K1B
YDR208W		PIP5K1C
YDR208W		PIP5KL1
YDR211W		EIF2B5
YDR212W		TCP1
YDR214W		AHSA1
YDR214W		AHSA2
YDR221W		PRKCSH
YDR224C		HIST1H2BB
YDR224C		HIST1H2BJ
YDR224C		HIST2H2BE
YDR225W		H2AFX
YDR225W		HIST2H2AB
YDR226W		AK2
YDR226W		AK8
YDR228C		PCF11
YDR232W		ALAS1
YDR232W		ALAS2
YDR232W		GCAT
YDR235W		PRPF39
YDR236C		RFK
YDR238C		COPB1
YDR242W		FAAH
YDR242W		FAAH2
YDR243C		ARGLU1
YDR243C		DDX23
YDR244W		PEX5
YDR244W		PEX5L
YDR246W		TRAPPC4
YDR248C		IDNK
YDR252W		BTF3
YDR252W		BTF3L4
YDR255C		RMND5A
YDR255C		RMND5B
YDR256C		CAT
YDR257C		SETD3
YDR257C		SETD6
YDR258C		CLPB
YDR263C		EXO1
YDR264C		ZDHHC13
YDR264C		ZDHHC17
YDR265W		PEX10
YDR266C		ZNF598
YDR267C		CIAO1
YDR267C		SPAG16
YDR268W		WARS2
YDR270W		ATP7A
YDR270W		ATP7B
YDR272W		ETHE1
YDR272W		HAGH
YDR272W		HAGHL
YDR272W		PNKD
YDR280W		EXOSC7
YDR280W		EXOSC8
YDR280W		EXOSC9
YDR282C		RMND1
YDR283C		EIF2AK1
YDR283C		EIF2AK2
YDR283C		EIF2AK3
YDR283C		EIF2AK4
YDR284C		PPAPDC1A
YDR284C		PPAPDC1B
YDR285W		ERC1
YDR285W		ERC2
YDR287W		IMPA1
YDR287W		IMPA2
YDR289C		RPRD1A
YDR289C		RPRD1B
YDR289C		RPRD2
YDR292C		SRPR
YDR294C		SGPL1
YDR298C		ATP5O
YDR299W		AATF
YDR301W		CPSF1
YDR302W		PIGF
YDR304C		PPIB
YDR304C		PPIC
YDR304C		PPIL1
YDR304C		PPIL2
YDR304C		PPIL4
YDR305C		FHIT
YDR311W		GTF2H1
YDR312W		PPAN
YDR312W		PPAN-P2RY11
YDR323C		ZFYVE20
YDR324C		CIRH1A
YDR325W		NCAPG
YDR326C		GRAMD1A
YDR326C		GRAMD1B
YDR326C		GRAMD1C
YDR326C		GRAMD2
YDR326C		GRAMD3
YDR328C		SKP1
YDR330W		UBXN7
YDR331W		LGMN
YDR331W		PIGK
YDR333C		TCF25
YDR334W		EP400
YDR334W		EP400NL
YDR334W		SRCAP
YDR335W		XPO5
YDR336W		GTPBP8
YDR337W		MRPS15
YDR338C		SLC47A1
YDR338C		SLC47A2
YDR339C		FCF1
YDR341C		RARS
YDR341C		RARS2
YDR342C		SLC2A6
YDR342C		SLC2A8
YDR343C		SLC2A6
YDR343C		SLC2A8
YDR345C		SLC2A6
YDR345C		SLC2A8
YDR352W		C3ORF55
YDR352W		PQLC2
YDR358W		GGA1
YDR358W		GGA2
YDR358W		GGA3
YDR361C		BCCIP
YDR363W-A		SHFM1
YDR364C		CDC40
YDR364C		WDR25
YDR365C		ESF1
YDR371W		CHI3L1
YDR371W		CHI3L2
YDR371W		CHIA
YDR371W		CHIT1
YDR371W		OVGP1
YDR372C		GOLPH3
YDR372C		GOLPH3L
YDR373W		KCNIP1
