Chromosome	Start	End
chr1	7338502	7340844
chr1	7361338	7366535
chr1	7408583	7412981
chr1	7417467	7419774
chr1	7464278	7468205
chr1	7486317	7491320
chr1	7507107	7511289
chr1	7533366	7536905
chr1	7548590	7551327
chr1	7567346	7572598
chr1	7615315	7618229
chr1	7621589	7625468
chr1	7641388	7645229
chr1	7680933	7684030
chr1	7707287	7711426
chr1	7812398	7818318
chr1	7906008	7911099
chr1	8183615	8191792
chr1	8196406	8200690
chr1	8207789	8208921
chr1	8212425	8216218
chr1	8216218	8218115
chr1	8272526	8273940
chr1	8274807	8278899
chr1	8345298	8348947
chr1	8389153	8394816
chr1	8917212	8918313
chr1	8983655	8989375
chr1	9000882	9005269
chr1	9012691	9016896
chr1	9030964	9036614
chr1	9066967	9070363
chr1	9075369	9080411
chr1	9155963	9161619
chr1	9395261	9399195
chr1	9504017	9512371
chr1	9533089	9535303
chr1	9682631	9688512
chr1	9734287	9735844
chr1	9897001	9902900
chr1	10231463	10236039
chr1	10475537	10479678
chr1	10640933	10644351
chr1	10844444	10849645
chr1	10990361	10995479
chr1	11050459	11058030
chr1	11151480	11153241
chr1	11168098	11170131
chr1	11322628	11326788
chr1	11499416	11502829
chr1	11505486	11510643
chr1	11773663	11779499
chr1	11850927	11852300
chr1	11906068	11910339
chr1	11924027	11928830
chr1	11928895	11932704
chr1	12128498	12130051
chr1	12169977	12175818
chr1	12240097	12242096
chr1	12278932	12281273
chr1	12603258	12609251
chr1	12669341	12671685
chr1	12680517	12683190
chr1	12685582	12691005
chr1	12765166	12769379
chr1	12777931	12779618
chr1	12865920	12871327
chr1	12879799	12886042
chr1	13798033	13800135
chr1	13913180	13920167
chr1	13920193	13923944
chr1	13947144	13951715
chr1	13991411	13995362
chr1	14119840	14123747
chr1	14127643	14130677
chr1	14134437	14139683
chr1	14158755	14163485
chr1	14166750	14170060
chr1	14190669	14195969
chr1	14250509	14256372
chr1	14274833	14278581
chr1	14279841	14281451
chr1	14299701	14303732
chr1	14326943	14331824
chr1	14352147	14354311
chr1	14389748	14394291
chr1	14439423	14444796
chr1	14453185	14454880
chr1	14462049	14464167
chr1	14467593	14469986
chr1	14476584	14481281
chr1	14505595	14509676
chr1	14623989	14629449
chr1	14649005	14652782
chr1	14689316	14692598
chr1	14703854	14708129
chr1	14719434	14721426
chr1	14724840	14726096
chr1	14790931	14792834
chr1	14835710	14841189
chr1	14845459	14849996
chr1	14900542	14905571
chr1	14958264	14961463
chr1	15180851	15184139
chr1	15259547	15264699
chr1	15309309	15313262
chr1	15320285	15327948
chr1	15334480	15339902
chr1	15347363	15351283
chr1	15371332	15373378
chr1	15421785	15426497
chr1	15504073	15508945
chr1	15540312	15541607
chr1	15542097	15543682
chr1	15553170	15558938
chr1	15559788	15564890
chr1	15567583	15572385
chr1	15598812	15602330
chr1	15682482	15687059
chr1	15739350	15743884
chr1	16049340	16053809
chr1	16121604	16126932
chr1	16378215	16380582
chr1	16441739	16447509
chr1	16495998	16501350
chr1	16511616	16516859
chr1	17392980	17397704
chr1	17428218	17429953
chr1	17495012	17498462
chr1	17518160	17525065
chr1	17525065	17529311
chr1	17538842	17542448
chr1	17553113	17557039
chr1	17559196	17565414
chr1	17595925	17600358
chr1	17665401	17668609
chr1	17675650	17682215
chr1	17872355	17876389
chr1	17918347	17923518
chr1	18031940	18034007
chr1	18041907	18045943
chr1	18052645	18056653
chr1	18105498	18110701
chr1	18149510	18153231
chr1	18165382	18170119
chr1	18244913	18250135
chr1	18263447	18266455
chr1	18274855	18280034
chr1	18321961	18323910
chr1	18331332	18337212
chr1	18426428	18427615
chr1	18436562	18441551
chr1	18458372	18460526
chr1	18478540	18481430
chr1	18486802	18490709
chr1	18510894	18514800
chr1	18523140	18527267
chr1	18549997	18554886
chr1	18556739	18559350
chr1	18605945	18609456
chr1	18632368	18637260
chr1	18643632	18646082
chr1	18658537	18659641
chr1	18696728	18701991
chr1	18703186	18705097
chr1	18714608	18718530
chr1	18730596	18732980
chr1	18759377	18761411
chr1	18766063	18767827
chr1	18793636	18794767
chr1	18811668	18816271
chr1	18832314	18835504
chr1	18869086	18872413
chr1	18903563	18907068
chr1	18956458	18958477
chr1	18999052	19006152
chr1	19023611	19027239
chr1	19029799	19033575
chr1	19100436	19103801
chr1	19126653	19131529
chr1	19160160	19162955
chr1	19335817	19341279
chr1	19678218	19682136
chr1	19755388	19757646
chr1	19765973	19767769
chr1	19969531	19974669
chr1	20013408	20018195
chr1	20022527	20030463
chr1	20056759	20061456
chr1	20139302	20140581
chr1	20158334	20163290
chr1	20173972	20176738
chr1	20248709	20251833
chr1	20275868	20278924
chr1	20281505	20283943
chr1	20302503	20308180
chr1	20429861	20437540
chr1	20442311	20444796
chr1	20551745	20556940
chr1	20583060	20585773
chr1	20605177	20608200
chr1	20733236	20736883
chr1	20767524	20773908
chr1	20882523	20886767
chr1	20902053	20907051
chr1	21008599	21011552
chr1	21023010	21031042
chr1	21564970	21568582
chr1	21583925	21586875
chr1	21590619	21594403
chr1	21820858	21825036
chr1	21887290	21892479
chr1	21953138	21958957
chr1	22002867	22006721
chr1	22138467	22141983
chr1	22285357	22287941
chr1	22343298	22346009
chr1	22490724	22500396
chr1	22511922	22514236
chr1	22532607	22534333
chr1	22595026	22599878
chr1	22649487	22652501
chr1	22675846	22680517
chr1	22689273	22691935
chr1	22734931	22738432
chr1	22967496	22972098
chr1	23027471	23033257
chr1	23141467	23145780
chr1	23154479	23158581
chr1	23171706	23175042
chr1	23182684	23189059
chr1	23200159	23204183
chr1	23205021	23209562
chr1	23288899	23294121
chr1	23577073	23579474
chr1	23708486	23710241
chr1	23793022	23794782
chr1	23907661	23915048
chr1	24003426	24005465
chr1	24387822	24391181
chr1	24411488	24417968
chr1	24421474	24424241
chr1	24529215	24530964
chr1	24572806	24577506
chr1	24640456	24641965
chr1	24656001	24659435
chr1	24706113	24709204
chr1	25188127	25193288
chr1	25221678	25224957
chr1	25305673	25308531
chr1	25321765	25325837
chr1	25333121	25335245
chr1	25339779	25340885
chr1	25378513	25382556
chr1	25397349	25401437
chr1	25421990	25426117
chr1	25449410	25452437
chr1	25469102	25473290
chr1	25894853	25900215
chr1	25906876	25910533
chr1	26131021	26136452
chr1	26305225	26309193
chr1	26385306	26387423
chr1	26525383	26531256
chr1	26698938	26701853
chr1	26714161	26717964
chr1	26743903	26747212
chr1	26846770	26848675
chr1	26905567	26910754
chr1	27366247	27372443
chr1	27535914	27540230
chr1	27676737	27682126
chr1	27956418	27960011
chr1	27974027	27975910
chr1	28027935	28029377
chr1	28261902	28264002
chr1	28277669	28281413
chr1	28573226	28576327
chr1	28690171	28691708
chr1	29167823	29170495
chr1	29630182	29632400
chr1	29714206	29722736
chr1	29736216	29743408
chr1	29764426	29766149
chr1	29779160	29780715
chr1	29780782	29782019
chr1	29784343	29789167
chr1	29793205	29795699
chr1	29799386	29801368
chr1	29850897	29854675
chr1	30119454	30121585
chr1	30147600	30152120
chr1	30159798	30162959
chr1	30197407	30199134
chr1	30240138	30245413
chr1	30254347	30259725
chr1	30308607	30310877
chr1	30323505	30326342
chr1	30353687	30358651
chr1	30364629	30369659
chr1	30369815	30372242
chr1	30401563	30407575
chr1	30424433	30429617
chr1	30458041	30460674
chr1	30472001	30475948
chr1	30483596	30487322
chr1	30517143	30523025
chr1	30523923	30526315
chr1	30535269	30540710
chr1	30576228	30578922
chr1	30659498	30660839
chr1	30696763	30698344
chr1	30710305	30716108
chr1	30742979	30746816
chr1	30757293	30762687
chr1	30784540	30788183
chr1	30792242	30794300
chr1	30842429	30848233
chr1	30890587	30892645
chr1	30892645	30895058
chr1	30924112	30925257
chr1	30941636	30945974
chr1	30987414	30989639
chr1	30995428	30999210
chr1	31010198	31013255
chr1	31060480	31064164
chr1	31078837	31084213
chr1	31114524	31115997
chr1	31116014	31119137
chr1	31161483	31164167
chr1	31255634	31261037
chr1	31315593	31318133
chr1	31362224	31367929
chr1	31567588	31572349
chr1	31633308	31639120
chr1	31686085	31688111
chr1	31700777	31707857
chr1	31991748	31993324
chr1	32007672	32013489
chr1	32032933	32042268
chr1	32436880	32440710
chr1	33062362	33066299
chr1	33211455	33215380
chr1	33595289	33600172
chr1	33919975	33921878
chr1	34020620	34023749
chr1	34129477	34132179
chr1	34180842	34186193
chr1	34210419	34211613
chr1	34211622	34216311
chr1	34220173	34221810
chr1	34244913	34248064
chr1	34280343	34282939
chr1	34291676	34292701
chr1	34332933	34335985
chr1	34349080	34355173
chr1	34425419	34428365
chr1	34435266	34439294
chr1	34565761	34570240
chr1	34601391	34606351
chr1	34614520	34617053
chr1	34634844	34640803
chr1	34648046	34654365
chr1	34675755	34680093
chr1	34726167	34728556
chr1	34751249	34756509
chr1	34791709	34800533
chr1	34833929	34835613
chr1	34840763	34842429
chr1	35038958	35043869
chr1	35090895	35093593
chr1	35307679	35309309
chr1	35312429	35321242
chr1	35632811	35636009
chr1	35741663	35742791
chr1	36151125	36154485
chr1	36164677	36170250
chr1	36648925	36653677
chr1	36886117	36887485
chr1	36988601	36994379
chr1	37018573	37022310
chr1	37040157	37046145
chr1	37077450	37083209
chr1	37192741	37198352
chr1	37300936	37302347
chr1	37333495	37336602
chr1	37399974	37405960
chr1	37407820	37412639
chr1	37425875	37433623
chr1	37532771	37538004
chr1	37656953	37661910
chr1	37722912	37724275
chr1	37781054	37785527
chr1	37809549	37814390
chr1	38142401	38145045
chr1	38196841	38199542
chr1	38555696	38560591
chr1	38601617	38606443
chr1	38710513	38713877
chr1	38729915	38732659
chr1	38749491	38753014
chr1	38763942	38766142
chr1	38816121	38819839
chr1	38834659	38838022
chr1	38911283	38915251
chr1	38931450	38934792
chr1	39039195	39041667
chr1	39142655	39145914
chr1	39205979	39214152
chr1	39216646	39219090
chr1	39221104	39224855
chr1	39374782	39380307
chr1	39384585	39388783
chr1	39545269	39551242
chr1	40175071	40179431
chr1	40196870	40199962
chr1	40470939	40476801
chr1	40499737	40501987
chr1	40623320	40628752
chr1	40823379	40825600
chr1	40930624	40936249
chr1	41130424	41135518
chr1	41231424	41233213
chr1	41247623	41257209
chr1	41284509	41289364
chr1	41317020	41322370
chr1	41349252	41356226
chr1	41450911	41456032
chr1	41743470	41745970
chr1	41745970	41748897
chr1	41777327	41781013
chr1	41913157	41916264
chr1	41936401	41938903
chr1	41949582	41954444
chr1	41969059	41972251
chr1	41973349	41977512
chr1	42101843	42106230
chr1	42168112	42172358
chr1	42228019	42234315
chr1	42269458	42273446
chr1	42350837	42355386
chr1	42506138	42507517
chr1	42799743	42805126
chr1	42835786	42839902
chr1	42879737	42883271
chr1	42904860	42908046
chr1	43297578	43304174
chr1	43313901	43318478
chr1	43364582	43367643
chr1	43394612	43399996
chr1	43457939	43462020
chr1	43698099	43701781
chr1	43754459	43757955
chr1	44522274	44524676
chr1	44536073	44541287
chr1	44585816	44587895
chr1	44853953	44856843
chr1	44891488	44896133
chr1	44934171	44939696
chr1	44989685	44992714
chr1	45060687	45063668
chr1	45166513	45172257
chr1	45375063	45376737
chr1	45453893	45455528
chr1	45791154	45796269
chr1	45932887	45934562
chr1	46605369	46609736
chr1	46801625	46808042
chr1	46862555	46865040
chr1	46994507	46997127
chr1	47209798	47212009
chr1	47480992	47485604
chr1	47855379	47857622
chr1	47938861	47943032
chr1	47998501	48004776
chr1	48044064	48046929
chr1	48117693	48119989
chr1	48209873	48215259
chr1	48442182	48444099
chr1	48480638	48484148
chr1	48514518	48517657
chr1	48519515	48522197
chr1	48536798	48539298
chr1	48818458	48820294
chr1	48859681	48862146
chr1	48937215	48939678
chr1	48947883	48952201
chr1	48976856	48978744
chr1	48999555	49003131
chr1	49050053	49054581
chr1	49067014	49071418
chr1	49081323	49084246
chr1	49138462	49139708
chr1	49158560	49165860
chr1	49168723	49174059
chr1	49181320	49187171
chr1	50229397	50232173
chr1	50591565	50594585
chr1	50779946	50785294
chr1	50822880	50827441
chr1	51483941	51485124
chr1	51498731	51500769
chr1	51582864	51584082
chr1	52261130	52266242
chr1	52344920	52346366
chr1	53079953	53085337
chr1	53156133	53161620
chr1	53377125	53380515
chr1	53476970	53479892
chr1	53510671	53511764
chr1	53530617	53534687
chr1	53578174	53582290
chr1	53626626	53631232
chr1	53631805	53635094
chr1	53751610	53754361
chr1	53761809	53764072
chr1	53776341	53782093
chr1	53810840	53814038
chr1	53835096	53838085
chr1	53867792	53870831
chr1	53879610	53883374
chr1	53998415	54001983
chr1	54014492	54018427
chr1	54023894	54027568
chr1	54033242	54036593
chr1	54062273	54064240
chr1	54070013	54072759
chr1	54195996	54198318
chr1	54323891	54327983
chr1	54366479	54372174
chr1	54429272	54433064
chr1	54581869	54588534
chr1	54662346	54666981
chr1	54702390	54707082
chr1	54742471	54745528
chr1	54755091	54758583
chr1	54760575	54762721
chr1	54768781	54772259
chr1	55012359	55015376
chr1	55044940	55049806
chr1	55300554	55302389
chr1	55305035	55307693
chr1	55438925	55441040
chr1	55470153	55474476
chr1	55478678	55481769
chr1	55495363	55497302
chr1	55509355	55516004
chr1	55708738	55712335
chr1	55723566	55725288
chr1	55790861	55793113
chr1	55940515	55941906
chr1	55968699	55972930
chr1	55982351	55983525
chr1	55994302	55999067
chr1	56042151	56043876
chr1	56046405	56050254
chr1	56059054	56060951
chr1	56063733	56068968
chr1	56094007	56095975
chr1	56112774	56116232
chr1	56164478	56166221
chr1	56243360	56247052
chr1	56279686	56283332
chr1	56402893	56404927
chr1	56750081	56751839
chr1	56769453	56770906
chr1	56799912	56802204
chr1	56854038	56858747
chr1	56869084	56872794
chr1	56961584	56965664
chr1	57017739	57022282
chr1	57065768	57067422
chr1	57177388	57180072
chr1	57272376	57278215
chr1	57370435	57372591
chr1	57407398	57410145
chr1	57425474	57430805
chr1	57466897	57467935
chr1	57488611	57490447
chr1	57558965	57561106
chr1	57565437	57569471
chr1	57585593	57587533
chr1	57602868	57605515
chr1	57611829	57617803
chr1	57667249	57670245
chr1	57692900	57697059
chr1	57706839	57708860
chr1	57777840	57780601
chr1	57850045	57851771
chr1	57873788	57875690
chr1	57908791	57914164
chr1	57956702	57959581
chr1	58009305	58011527
chr1	58082956	58085911
chr1	58137279	58139294
chr1	58161632	58163480
chr1	58181165	58182587
chr1	58188868	58193166
chr1	58207228	58211742
chr1	58215034	58217448
chr1	58243173	58244952
chr1	58349005	58352716
chr1	58367236	58373239
chr1	58380452	58387094
chr1	58401104	58402915
chr1	58412467	58416155
chr1	58482203	58484350
chr1	58521671	58523985
chr1	58534581	58537102
chr1	58682867	58688828
chr1	58765930	58772242
chr1	58799913	58802487
chr1	58810100	58811763
chr1	58862010	58865399
chr1	58872128	58874553
chr1	58876346	58877966
chr1	58921516	58923511
chr1	58935332	58939335
chr1	59011522	59012691
chr1	59026635	59027640
chr1	59227624	59230228
chr1	59344067	59347010
chr1	59413812	59416952
chr1	59486190	59489710
chr1	59559189	59562785
chr1	59569829	59573701
chr1	59605132	59613619
chr1	59650556	59653892
chr1	59693003	59694611
chr1	59888583	59890409
chr1	59983731	59986885
chr1	60195895	60200965
chr1	60223460	60229150
chr1	60456887	60460733
chr1	60465392	60467693
chr1	60592922	60594980
chr1	60867941	60872291
chr1	60888032	60889674
chr1	61035762	61036815
chr1	61074956	61077117
chr1	61124930	61128157
chr1	61133462	61137245
chr1	61179670	61184756
chr1	61228584	61232765
chr1	61256553	61264038
chr1	61318281	61322058
chr1	61356057	61359835
chr1	61373796	61377430
chr1	61391533	61397168
chr1	61408539	61413691
chr1	61445088	61447523
chr1	61606167	61608545
chr1	61662830	61668784
chr1	61678091	61680854
chr1	61823718	61826280
chr1	61831057	61835924
chr1	61848183	61852184
chr1	61870856	61873246
chr1	61953338	61957107
chr1	61977297	61983230
chr1	62025038	62027313
chr1	62075892	62081148
chr1	62107558	62111054
chr1	62124585	62127097
chr1	62133112	62138128
chr1	62147149	62148968
chr1	62221336	62225036
chr1	62242938	62247389
chr1	62363510	62368811
chr1	62473982	62479376
chr1	62518721	62523223
chr1	62717814	62721234
chr1	62729015	62731346
chr1	62759707	62762188
chr1	62773268	62781830
chr1	62803211	62805318
chr1	62897262	62900128
chr1	63201910	63204498
chr1	63286247	63290128
chr1	63358816	63361124
chr1	63390838	63393734
chr1	63399685	63403861
chr1	63415029	63421660
chr1	63453129	63461822
chr1	63485827	63491240
chr1	63499941	63502406
chr1	63526570	63531136
chr1	63537603	63545178
chr1	63572136	63573282
chr1	63579793	63583032
chr1	63627911	63630798
chr1	63638069	63640802
chr1	63661911	63664889
chr1	63793155	63798761
chr1	63919039	63921524
chr1	64075768	64076814
chr1	64161823	64167237
chr1	64190034	64194384
chr1	64256703	64262759
chr1	64340847	64345659
chr1	64363268	64368590
chr1	64449184	64450437
chr1	64515379	64520155
chr1	64534304	64539877
chr1	64553628	64556077
chr1	64596025	64600020
chr1	64613008	64615775
chr1	64637880	64639954
chr1	64654790	64658820
chr1	64773079	64774217
chr1	64785089	64787508
chr1	64827193	64831392
chr1	64865340	64868352
chr1	64973124	64976251
chr1	65010679	65014651
chr1	65036321	65039874
chr1	65091360	65096284
chr1	65096465	65102345
chr1	65147002	65151886
chr1	65151886	65153987
chr1	65173308	65177332
chr1	65185577	65188030
chr1	65309387	65311214
chr1	65460048	65463837
chr1	65491914	65497314
chr1	65526176	65530114
chr1	65678921	65681543
chr1	65688461	65691249
chr1	65695853	65698884
chr1	65854556	65856861
chr1	65867715	65869788
chr1	65887508	65892888
chr1	65939158	65943471
chr1	66001933	66003014
chr1	66031063	66033496
chr1	66053081	66054995
chr1	66138575	66140396
chr1	66166499	66168566
chr1	66169142	66171667
chr1	66213043	66217735
chr1	66274619	66281199
chr1	66330594	66335318
chr1	66386116	66388728
chr1	66642895	66646184
chr1	66690080	66693995
chr1	66773046	66774988
chr1	66796248	66802591
chr1	66857272	66863275
chr1	66880990	66885384
chr1	66936541	66940708
chr1	66986557	66990824
chr1	67017795	67024215
chr1	67219209	67224535
chr1	67252247	67257871
chr1	67529089	67531646
chr1	67592114	67597119
chr1	67914487	67917914
chr1	67989591	67993077
chr1	67996114	67998989
chr1	68017396	68021103
chr1	68046354	68052462
chr1	68071196	68073549
chr1	68194025	68195279
chr1	68253624	68258818
chr1	68313138	68315277
chr1	68455306	68461524
chr1	68476536	68478666
chr1	68491671	68493499
chr1	68509169	68512171
chr1	68566130	68569009
chr1	68580704	68583264
chr1	68586620	68591405
chr1	68631792	68634641
chr1	68663372	68665174
chr1	68716877	68721433
chr1	68735899	68741249
chr1	68873103	68874508
chr1	68916123	68920581
chr1	69040041	69043224
chr1	69133160	69137069
chr1	69161230	69166275
chr1	69439156	69443052
chr1	69446281	69449173
chr1	69685862	69688540
chr1	69788785	69793972
chr1	69893341	69901557
chr1	69934056	69938888
chr1	70029922	70033296
chr1	70034663	70039623
chr1	70074224	70076433
chr1	70112656	70115756
chr1	70154480	70160178
chr1	70187805	70190096
chr1	70397087	70399066
chr1	70492884	70494216
chr1	70501140	70505771
chr1	70543587	70544822
chr1	70567897	70570974
chr1	70818576	70821757
chr1	70942269	70947395
chr1	70960594	70966274
chr1	70986547	70990955
chr1	70990955	70995128
chr1	71001649	71005078
chr1	71006820	71008377
chr1	71038615	71040574
chr1	71083243	71085350
chr1	71092476	71093805
chr1	71153714	71155477
chr1	71946767	71948851
chr1	71954969	71960291
chr1	72022188	72025716
chr1	72281132	72284911
chr1	72378600	72384465
chr1	72508345	72511589
chr1	72553991	72557973
chr1	72712607	72717743
chr1	73144511	73145563
chr1	73334126	73336107
chr1	74173502	74175798
chr1	74233871	74236278
chr1	74267230	74269313
chr1	74325467	74327707
chr1	74333708	74337258
chr1	74352113	74357210
chr1	74374037	74376663
chr1	74440382	74445584
chr1	74462124	74465302
chr1	74465975	74469523
chr1	74618096	74623074
chr1	74709711	74712181
chr1	74854797	74858724
chr1	74901580	74906107
chr1	74922362	74926794
chr1	74975363	74977870
chr1	75012637	75015994
chr1	75129169	75131309
chr1	75164915	75166623
chr1	75172786	75175886
chr1	75275749	75278936
chr1	75618376	75620434
chr1	75626420	75631628
chr1	75668610	75672134
chr1	75689855	75694861
chr1	75757015	75761749
chr1	75992019	75996354
chr1	76226484	76227974
chr1	76476034	76477680
chr1	76493278	76495745
chr1	76527361	76529240
chr1	76553283	76559846
chr1	76591091	76592858
chr1	76595909	76598836
chr1	76606948	76609506
chr1	76673361	76676058
chr1	76688786	76692701
chr1	76699036	76704202
chr1	76725259	76729651
chr1	76734080	76739046
chr1	76768447	76773886
chr1	76781576	76784636
chr1	76846098	76848445
chr1	76862648	76867853
chr1	76974211	76977050
chr1	77016065	77019597
chr1	77038370	77041013
chr1	77138904	77144126
chr1	77188392	77190465
chr1	77218423	77220821
chr1	77260455	77265060
chr1	77416217	77422194
chr1	77479788	77484600
chr1	77546235	77548834
chr1	77692135	77695854
chr1	77825660	77828321
chr1	77867129	77871803
chr1	77892274	77896809
chr1	77957618	77958712
chr1	77986413	77988573
chr1	78718815	78722300
chr1	78812335	78815799
chr1	78816915	78819945
chr1	78951591	78958863
chr1	78984772	78990275
chr1	79059963	79064336
chr1	79109615	79115306
chr1	79181942	79185497
chr1	79213655	79216267
chr1	79232546	79235573
chr1	79258288	79263805
chr1	79294208	79297214
chr1	79440381	79444745
chr1	79491206	79493936
chr1	79580760	79583030
chr1	79658086	79663267
chr1	80099217	80101805
chr1	80220589	80225837
chr1	80311033	80316003
chr1	80338715	80343496
chr1	80449468	80452773
chr1	80563920	80565828
chr1	80650524	80653552
chr1	80673570	80680126
chr1	80684660	80686200
chr1	80700800	80702046
chr1	80779272	80782665
chr1	80917550	80922128
chr1	80953659	80956744
chr1	81024433	81027925
chr1	81056946	81059253
chr1	81207701	81210125
chr1	81230432	81232434
chr1	81340124	81342300
chr1	81352249	81355884
chr1	81359010	81364694
chr1	81428315	81433188
chr1	81478037	81483702
chr1	81488382	81491004
chr1	81594513	81595980
chr1	81608047	81609847
chr1	81617765	81618807
chr1	81653451	81656935
chr1	81680852	81683122
chr1	81766037	81768971
chr1	81772757	81775528
chr1	81820498	81823022
chr1	81844376	81850262
chr1	81867055	81873319
chr1	81891851	81897388
chr1	81928412	81929838
chr1	81944479	81947833
chr1	81960171	81966833
chr1	81976386	81977414
chr1	81987444	81991684
chr1	82020636	82024405
chr1	82086743	82087917
chr1	82091242	82092861
chr1	82215080	82219539
chr1	82248794	82253052
chr1	82352612	82356110
chr1	82373697	82375080
chr1	82506257	82508628
chr1	82561559	82564441
chr1	82578923	82583859
chr1	82603634	82605251
chr1	82685295	82687054
chr1	82776078	82777885
chr1	82835418	82837212
chr1	82882404	82885739
chr1	82964864	82965883
chr1	83031157	83032206
chr1	83053513	83055625
chr1	83057803	83062484
chr1	83094381	83096605
chr1	83101281	83106653
chr1	83115149	83116770
chr1	83128169	83131437
chr1	83135671	83137384
chr1	83251089	83252312
chr1	83263047	83264956
chr1	83291754	83295317
chr1	83318095	83325805
chr1	83465825	83469974
chr1	83477750	83481903
chr1	83926285	83930852
chr1	83973688	83978738
chr1	83989898	83992639
chr1	84024568	84030509
chr1	84050320	84054569
chr1	84106952	84109707
chr1	84120865	84123079
chr1	84158330	84165934
chr1	84225626	84228982
chr1	84243054	84244210
chr1	84319436	84325129
chr1	84677268	84678278
chr1	84689688	84693670
chr1	84718382	84719729
chr1	84729134	84732963
chr1	84735710	84740891
chr1	84745603	84748078
chr1	84759975	84765831
chr1	84842764	84849116
chr1	84864734	84868961
chr1	84925379	84928736
chr1	85089083	85097019
chr1	85206477	85211579
chr1	85228783	85232652
chr1	85236885	85241298
chr1	85382162	85384935
chr1	85389630	85394258
chr1	85407471	85413380
chr1	85416189	85417819
chr1	85418645	85419947
chr1	85451143	85455532
chr1	85537890	85539804
chr1	85554402	85560264
chr1	85580072	85583985
chr1	85600326	85603738
chr1	85678459	85682617
chr1	85706113	85711058
chr1	85940105	85941419
chr1	85966003	85974666
chr1	86056697	86062222
chr1	86118587	86119898
chr1	86228343	86229604
chr1	86249063	86251836
chr1	86297578	86300445
chr1	86453237	86455453
chr1	86464262	86468132
chr1	86503513	86505174
chr1	86549498	86552226
chr1	86660817	86664322
chr1	86666588	86668196
chr1	86758589	86761043
chr1	86794839	86800679
chr1	86899919	86904993
chr1	86914869	86917137
chr1	86948708	86954398
chr1	87164825	87169408
chr1	87466245	87468337
chr1	87583365	87587849
chr1	87637394	87640058
chr1	87651047	87655223
chr1	87663798	87666118
chr1	87682755	87686684
chr1	87692778	87696966
chr1	87757311	87762069
chr1	87821315	87826767
chr1	87857993	87862181
chr1	87888671	87893409
chr1	88033094	88036946
chr1	88126536	88129160
chr1	88176535	88181691
chr1	88192230	88196315
chr1	88235193	88239608
chr1	88287879	88292438
chr1	88372611	88373874
chr1	88453303	88458200
chr1	88481774	88483207
chr1	88603134	88607307
chr1	88624989	88628664
chr1	88652533	88656688
chr1	88795879	88799803
chr1	88860853	88865516
chr1	88943868	88946781
chr1	88968060	88971294
chr1	89022635	89027160
chr1	89040779	89042702
chr1	89114405	89117375
chr1	89361235	89366604
chr1	89475230	89479063
chr1	89556560	89558041
chr1	89779051	89783040
chr1	90063906	90066806
chr1	90121414	90125355
chr1	90227878	90229297
chr1	90410171	90414472
chr1	90508588	90513773
chr1	90536134	90538787
chr1	90568410	90571911
chr1	90599392	90602741
chr1	90627000	90629814
chr1	90644029	90647801
chr1	90823359	90826394
chr1	90924182	90928754
